Category,Condition,Alias,Relative Link
"Bones, muscles, and connective tissues",elfin facies syndrome,williams syndrome,/condition/williams-syndrome
"Bones, muscles, and connective tissues",elfin facies with hypercalcemia,williams syndrome,/condition/williams-syndrome
"Bones, muscles, and connective tissues",ellis-van creveld syndrome,,/condition/ellis-van-creveld-syndrome
"Bones, muscles, and connective tissues",emery-dreifuss muscular dystrophy,,/condition/emery-dreifuss-muscular-dystrophy
"Bones, muscles, and connective tissues",enchondromatosis with hemangiomata,maffucci syndrome,/condition/maffucci-syndrome
"Bones, muscles, and connective tissues",engelmann's disease,camurati-engelmann disease,/condition/camurati-engelmann-disease
"Bones, muscles, and connective tissues",enlarged parietal foramina,,/condition/enlarged-parietal-foramina
"Bones, muscles, and connective tissues","epiphyseal dysplasia, fairbank type",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues","epiphyseal dysplasia, multiple, 1",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues","epiphyseal dysplasia, multiple, 2",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues","epiphyseal dysplasia, multiple, 3",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues","epiphyseal dysplasia, multiple, 4",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues","epiphyseal dysplasia, multiple, 5",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues","epiphyseal dysplasia, ribbing type",multiple epiphyseal dysplasia,/condition/multiple-epiphyseal-dysplasia
"Bones, muscles, and connective tissues",eronen syndrome,doors syndrome,/condition/doors-syndrome
"Bones, muscles, and connective tissues",escobar syndrome,multiple pterygium syndrome,/condition/multiple-pterygium-syndrome
"Bones, muscles, and connective tissues",estrogen synthetase deficiency,aromatase deficiency,/condition/aromatase-deficiency
"Bones, muscles, and connective tissues",eulenburg disease,paramyotonia congenita,/condition/paramyotonia-congenita
"Bones, muscles, and connective tissues",ewing sarcoma,,/condition/ewing-sarcoma
"Bones, muscles, and connective tissues",exercise-induced myopathy,adenosine monophosphate deaminase deficiency,/condition/adenosine-monophosphate-deaminase-deficiency
"Bones, muscles, and connective tissues","exostoses, multiple hereditary",hereditary multiple exostoses,/condition/hereditary-multiple-exostoses
"Bones, muscles, and connective tissues",fa,friedreich ataxia,/condition/friedreich-ataxia
"Bones, muscles, and connective tissues",facial dysmorphism-intellectual deficit-short stature-hearing loss,myhre syndrome,/condition/myhre-syndrome
"Bones, muscles, and connective tissues",facio-digito-genital dysplasia,aarskog-scott syndrome,/condition/aarskog-scott-syndrome
"Bones, muscles, and connective tissues",facio-genito-popliteal syndrome,popliteal pterygium syndrome,/condition/popliteal-pterygium-syndrome
"Bones, muscles, and connective tissues",facio-scapulo-humeral dystrophy,facioscapulohumeral muscular dystrophy,/condition/facioscapulohumeral-muscular-dystrophy
"Bones, muscles, and connective tissues",facioauriculovertebral dysplasia,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",faciogenital dysplasia,aarskog-scott syndrome,/condition/aarskog-scott-syndrome
"Bones, muscles, and connective tissues",otopalatodigital syndrome type 1,,/condition/otopalatodigital-syndrome-type-1
"Bones, muscles, and connective tissues",facioscapulohumeral muscular dystrophy,,/condition/facioscapulohumeral-muscular-dystrophy
"Bones, muscles, and connective tissues",facioscapuloperoneal muscular dystrophy,facioscapulohumeral muscular dystrophy,/condition/facioscapulohumeral-muscular-dystrophy
"Bones, muscles, and connective tissues",fairbank-keats syndrome,osteoglophonic dysplasia,/condition/osteoglophonic-dysplasia
"Bones, muscles, and connective tissues",familial amyloid nephropathy with urticaria and deafness,muckle-wells syndrome,/condition/muckle-wells-syndrome
"Bones, muscles, and connective tissues",familial benign giant-cell tumor of the jaw,cherubism,/condition/cherubism
"Bones, muscles, and connective tissues",familial brachial plexus neuritis,hereditary neuralgic amyotrophy,/condition/hereditary-neuralgic-amyotrophy
"Bones, muscles, and connective tissues",familial cold autoinflammatory syndrome,,/condition/familial-cold-autoinflammatory-syndrome
"Bones, muscles, and connective tissues",familial cystic parathyroid adenomatosis,hyperparathyroidism-jaw tumor syndrome,/condition/hyperparathyroidism-jaw-tumor-syndrome
"Bones, muscles, and connective tissues",familial exostoses,hereditary multiple exostoses,/condition/hereditary-multiple-exostoses
"Bones, muscles, and connective tissues",familial fibrous dysplasia of jaw,cherubism,/condition/cherubism
"Bones, muscles, and connective tissues","familial granulomatosis, blau type",blau syndrome,/condition/blau-syndrome
"Bones, muscles, and connective tissues",familial horizontal gaze palsy with progressive scoliosis,horizontal gaze palsy with progressive scoliosis,/condition/horizontal-gaze-palsy-with-progressive-scoliosis
"Bones, muscles, and connective tissues",familial hypercalciuric hypocalcemia,autosomal dominant hypocalcemia,/condition/autosomal-dominant-hypocalcemia
"Bones, muscles, and connective tissues",familial hyperkalemic periodic paralysis,hyperkalemic periodic paralysis,/condition/hyperkalemic-periodic-paralysis
"Bones, muscles, and connective tissues",familial hypocalcemia,autosomal dominant hypocalcemia,/condition/autosomal-dominant-hypocalcemia
"Bones, muscles, and connective tissues",familial hypokalemic periodic paralysis,hypokalemic periodic paralysis,/condition/hypokalemic-periodic-paralysis
"Bones, muscles, and connective tissues",familial idiopathic hyperphosphatasemia,juvenile paget disease,/condition/juvenile-paget-disease
"Bones, muscles, and connective tissues",familial idiopathic scoliosis associated with congenital encephalopathy,horizontal gaze palsy with progressive scoliosis,/condition/horizontal-gaze-palsy-with-progressive-scoliosis
"Bones, muscles, and connective tissues",familial infantile scoliosis associated with bilateral paralysis of conjugate gaze,horizontal gaze palsy with progressive scoliosis,/condition/horizontal-gaze-palsy-with-progressive-scoliosis
"Bones, muscles, and connective tissues",familial infiltrative fibromatosis,desmoid tumor,/condition/desmoid-tumor
"Bones, muscles, and connective tissues",familial isolated vitamin e deficiency,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency
"Bones, muscles, and connective tissues",familial juvenile systemic granulomatosis,blau syndrome,/condition/blau-syndrome
"Bones, muscles, and connective tissues",familial multilocular cystic disease of the jaws,cherubism,/condition/cherubism
"Bones, muscles, and connective tissues",familial osteochondritis dissecans,,/condition/familial-osteochondritis-dissecans
"Bones, muscles, and connective tissues",familial osteodysplasia,hajdu-cheney syndrome,/condition/hajdu-cheney-syndrome
"Bones, muscles, and connective tissues",familial osteoectasia,juvenile paget disease,/condition/juvenile-paget-disease
"Bones, muscles, and connective tissues",familial primary hyperparathyroidism with multiple ossifying jaw fibromas,hyperparathyroidism-jaw tumor syndrome,/condition/hyperparathyroidism-jaw-tumor-syndrome
"Bones, muscles, and connective tissues",familial progressive scleroderma,systemic scleroderma,/condition/systemic-scleroderma
"Bones, muscles, and connective tissues",familial pterygium syndrome,multiple pterygium syndrome,/condition/multiple-pterygium-syndrome
"Bones, muscles, and connective tissues",familial turner syndrome,noonan syndrome,/condition/noonan-syndrome
"Bones, muscles, and connective tissues",farber lipogranulomatosis,,/condition/farber-lipogranulomatosis
"Bones, muscles, and connective tissues",fav,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",fcas,familial cold autoinflammatory syndrome,/condition/familial-cold-autoinflammatory-syndrome
"Bones, muscles, and connective tissues",fcmd,fukuyama congenital muscular dystrophy,/condition/fukuyama-congenital-muscular-dystrophy
"Bones, muscles, and connective tissues",fcu,familial cold autoinflammatory syndrome,/condition/familial-cold-autoinflammatory-syndrome
"Bones, muscles, and connective tissues",feingold syndrome,,/condition/feingold-syndrome
"Bones, muscles, and connective tissues",female pseudo-turner syndrome,noonan syndrome,/condition/noonan-syndrome
"Bones, muscles, and connective tissues",fetal face syndrome,robinow syndrome,/condition/robinow-syndrome
"Bones, muscles, and connective tissues",fgfr3-associated coronal synostosis,muenke syndrome,/condition/muenke-syndrome
"Bones, muscles, and connective tissues",fhs,floating-harbor syndrome,/condition/floating-harbor-syndrome
"Bones, muscles, and connective tissues",fibrodysplasia ossificans progressiva,,/condition/fibrodysplasia-ossificans-progressiva
"Bones, muscles, and connective tissues",fibrous dysplasia with pigmentary skin changes and precocious puberty,mccune-albright syndrome,/condition/mccune-albright-syndrome
"Bones, muscles, and connective tissues",fifth digit syndrome,coffin-siris syndrome,/condition/coffin-siris-syndrome
"Bones, muscles, and connective tissues",first and second branchial arch syndrome,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",first and second pharyngeal arch syndromes,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",five,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency
"Bones, muscles, and connective tissues",flhs,floating-harbor syndrome,/condition/floating-harbor-syndrome
"Bones, muscles, and connective tissues",floating-harbor syndrome,,/condition/floating-harbor-syndrome
"Bones, muscles, and connective tissues",fmd,frontometaphyseal dysplasia,/condition/frontometaphyseal-dysplasia
"Bones, muscles, and connective tissues",focal dermal hypoplasia,,/condition/focal-dermal-hypoplasia
"Bones, muscles, and connective tissues",focal hand dystonia,task-specific focal dystonia,/condition/task-specific-focal-dystonia
"Bones, muscles, and connective tissues",focal task-specific dystonia,task-specific focal dystonia,/condition/task-specific-focal-dystonia
"Bones, muscles, and connective tissues",focd,familial osteochondritis dissecans,/condition/familial-osteochondritis-dissecans
"Bones, muscles, and connective tissues",fong disease,nail-patella syndrome,/condition/nail-patella-syndrome
"Bones, muscles, and connective tissues",foramina parietalia permagna,enlarged parietal foramina,/condition/enlarged-parietal-foramina
"Bones, muscles, and connective tissues",forbes disease,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii
"Bones, muscles, and connective tissues",otopalatodigital syndrome type 1,,/condition/otopalatodigital-syndrome-type-1
"Bones, muscles, and connective tissues",fpp,enlarged parietal foramina,/condition/enlarged-parietal-foramina
"Bones, muscles, and connective tissues",fra(x) syndrome,fragile x syndrome,/condition/fragile-x-syndrome
"Bones, muscles, and connective tissues",fragile x syndrome,,/condition/fragile-x-syndrome
"Bones, muscles, and connective tissues",fragilitas ossium,osteogenesis imperfecta,/condition/osteogenesis-imperfecta
"Bones, muscles, and connective tissues",franceschetti-zwahlen-klein syndrome,treacher collins syndrome,/condition/treacher-collins-syndrome
"Bones, muscles, and connective tissues",fraxa syndrome,fragile x syndrome,/condition/fragile-x-syndrome
"Bones, muscles, and connective tissues",frda,friedreich ataxia,/condition/friedreich-ataxia
"Bones, muscles, and connective tissues",freeman-sheldon syndrome,,/condition/freeman-sheldon-syndrome
"Bones, muscles, and connective tissues",friedreich ataxia,,/condition/friedreich-ataxia
"Bones, muscles, and connective tissues",friedreich ataxia phenotype with selective vitamin e deficiency,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency
"Bones, muscles, and connective tissues",friedreich-like ataxia,ataxia with vitamin e deficiency,/condition/ataxia-with-vitamin-e-deficiency
"Bones, muscles, and connective tissues",frontometaphyseal dysplasia,,/condition/frontometaphyseal-dysplasia
"Bones, muscles, and connective tissues",fryns syndrome,,/condition/fryns-syndrome
"Bones, muscles, and connective tissues",fsh muscular dystrophy,facioscapulohumeral muscular dystrophy,/condition/facioscapulohumeral-muscular-dystrophy
"Bones, muscles, and connective tissues",fshd,facioscapulohumeral muscular dystrophy,/condition/facioscapulohumeral-muscular-dystrophy
"Bones, muscles, and connective tissues",fss,freeman-sheldon syndrome,/condition/freeman-sheldon-syndrome
"Bones, muscles, and connective tissues",ftsd,task-specific focal dystonia,/condition/task-specific-focal-dystonia
"Bones, muscles, and connective tissues",fukuhara disease,myoclonic epilepsy with ragged-red fibers,/condition/myoclonic-epilepsy-with-ragged-red-fibers
"Bones, muscles, and connective tissues",fukuyama congenital muscular dystrophy,,/condition/fukuyama-congenital-muscular-dystrophy
"Bones, muscles, and connective tissues",fusion of cervical vertebrae,klippel-feil syndrome,/condition/klippel-feil-syndrome
"Bones, muscles, and connective tissues",fxs,fragile x syndrome,/condition/fragile-x-syndrome
"Bones, muscles, and connective tissues",gaa deficiency,pompe disease,/condition/pompe-disease
"Bones, muscles, and connective tissues",gamstorp disease,hyperkalemic periodic paralysis,/condition/hyperkalemic-periodic-paralysis
"Bones, muscles, and connective tissues",gamstorp episodic adynamy,hyperkalemic periodic paralysis,/condition/hyperkalemic-periodic-paralysis
"Bones, muscles, and connective tissues",gamstorp-wohlfart syndrome,autosomal recessive axonal neuropathy with neuromyotonia,/condition/autosomal-recessive-axonal-neuropathy-with-neuromyotonia
"Bones, muscles, and connective tissues",garland-moorhouse syndrome,marinesco-sjögren syndrome,/condition/marinesco-sjogren-syndrome
"Bones, muscles, and connective tissues","gaze palsy, familial horizontal, with progressive scoliosis",horizontal gaze palsy with progressive scoliosis,/condition/horizontal-gaze-palsy-with-progressive-scoliosis
"Bones, muscles, and connective tissues",gdd,gnathodiaphyseal dysplasia,/condition/gnathodiaphyseal-dysplasia
"Bones, muscles, and connective tissues",geleophysic dysplasia,,/condition/geleophysic-dysplasia
"Bones, muscles, and connective tissues",genee-wiedemann acrofacial dysostosis,miller syndrome,/condition/miller-syndrome
"Bones, muscles, and connective tissues",genee-wiedemann syndrome,miller syndrome,/condition/miller-syndrome
"Bones, muscles, and connective tissues",general fibrosis syndrome,congenital fibrosis of the extraocular muscles,/condition/congenital-fibrosis-of-the-extraocular-muscles
"Bones, muscles, and connective tissues",genitopatellar syndrome,,/condition/genitopatellar-syndrome
"Bones, muscles, and connective tissues",ghdd,ghosal hematodiaphyseal dysplasia,/condition/ghosal-hematodiaphyseal-dysplasia
"Bones, muscles, and connective tissues",ghosal hematodiaphyseal dysplasia,,/condition/ghosal-hematodiaphyseal-dysplasia
"Bones, muscles, and connective tissues",giant cell chondrodysplasia,atelosteogenesis type 1,/condition/atelosteogenesis-type-1
"Bones, muscles, and connective tissues",giedion-langer syndrome,langer-giedion syndrome,/condition/langer-giedion-syndrome
"Bones, muscles, and connective tissues","glossoptosis, micrognathia, and cleft palate",isolated pierre robin sequence,/condition/isolated-pierre-robin-sequence
"Bones, muscles, and connective tissues",glycogen storage disease type 2b,danon disease,/condition/danon-disease
"Bones, muscles, and connective tissues",glycogen storage disease type ii,pompe disease,/condition/pompe-disease
"Bones, muscles, and connective tissues",glycogen storage disease type iib,danon disease,/condition/danon-disease
"Bones, muscles, and connective tissues",glycogen storage disease type iii,,/condition/glycogen-storage-disease-type-iii
"Bones, muscles, and connective tissues",glycogen storage disease type ix,,/condition/glycogen-storage-disease-type-ix
"Bones, muscles, and connective tissues",glycogen storage disease type v,,/condition/glycogen-storage-disease-type-v
"Bones, muscles, and connective tissues",glycogen storage disease type vii,,/condition/glycogen-storage-disease-type-vii
"Bones, muscles, and connective tissues",glycogen storage disease x,phosphoglycerate mutase deficiency,/condition/phosphoglycerate-mutase-deficiency
"Bones, muscles, and connective tissues",glycogenosis type ii,pompe disease,/condition/pompe-disease
"Bones, muscles, and connective tissues",gnathodiaphyseal dysplasia,,/condition/gnathodiaphyseal-dysplasia
"Bones, muscles, and connective tissues",goldenhar-gorlin syndrome,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",goldenhar syndrome,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",goltz-gorlin syndrome,focal dermal hypoplasia,/condition/focal-dermal-hypoplasia
"Bones, muscles, and connective tissues",goltz syndrome,focal dermal hypoplasia,/condition/focal-dermal-hypoplasia
"Bones, muscles, and connective tissues","gout, prps-related",phosphoribosylpyrophosphate synthetase superactivity,/condition/phosphoribosylpyrophosphate-synthetase-superactivity
"Bones, muscles, and connective tissues",gps,genitopatellar syndrome,/condition/genitopatellar-syndrome
"Bones, muscles, and connective tissues","granulomatous inflammatory arthritis, dermatitis, and uveitis, familial",blau syndrome,/condition/blau-syndrome
"Bones, muscles, and connective tissues",greenberg dysplasia,,/condition/greenberg-dysplasia
"Bones, muscles, and connective tissues",greig cephalopolysyndactyly syndrome,,/condition/greig-cephalopolysyndactyly-syndrome
"Bones, muscles, and connective tissues",gsd ii,pompe disease,/condition/pompe-disease
"Bones, muscles, and connective tissues",gsd iii,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii
"Bones, muscles, and connective tissues",gsd ix,glycogen storage disease type ix,/condition/glycogen-storage-disease-type-ix
"Bones, muscles, and connective tissues",gsd type v,glycogen storage disease type v,/condition/glycogen-storage-disease-type-v
"Bones, muscles, and connective tissues",gsd v,glycogen storage disease type v,/condition/glycogen-storage-disease-type-v
"Bones, muscles, and connective tissues",gsd vii,glycogen storage disease type vii,/condition/glycogen-storage-disease-type-vii
"Bones, muscles, and connective tissues",gsd x,phosphoglycerate mutase deficiency,/condition/phosphoglycerate-mutase-deficiency
"Bones, muscles, and connective tissues",gsd2,pompe disease,/condition/pompe-disease
"Bones, muscles, and connective tissues",gsd3,glycogen storage disease type iii,/condition/glycogen-storage-disease-type-iii
"Bones, muscles, and connective tissues",gsd7,glycogen storage disease type vii,/condition/glycogen-storage-disease-type-vii
"Bones, muscles, and connective tissues",gsd10,phosphoglycerate mutase deficiency,/condition/phosphoglycerate-mutase-deficiency
"Bones, muscles, and connective tissues",gsdix,glycogen storage disease type ix,/condition/glycogen-storage-disease-type-ix
"Bones, muscles, and connective tissues",gsdx,phosphoglycerate mutase deficiency,/condition/phosphoglycerate-mutase-deficiency
"Bones, muscles, and connective tissues",gusb deficiency,mucopolysaccharidosis type vii,/condition/mucopolysaccharidosis-type-vii
"Bones, muscles, and connective tissues",h-ck,isolated hyperckemia,/condition/isolated-hyperckemia
"Bones, muscles, and connective tissues",hajdu-cheney syndrome,,/condition/hajdu-cheney-syndrome
"Bones, muscles, and connective tissues",hall-pallister syndrome,pallister-hall syndrome,/condition/pallister-hall-syndrome
"Bones, muscles, and connective tissues",hanac,"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",/condition/hereditary-angiopathy-with-nephropathy-aneurysms-and-muscle-cramps-syndrome
"Bones, muscles, and connective tissues",hand-foot-genital syndrome,,/condition/hand-foot-genital-syndrome
"Bones, muscles, and connective tissues",hand-foot-uterus syndrome,hand-foot-genital syndrome,/condition/hand-foot-genital-syndrome
"Bones, muscles, and connective tissues",happle syndrome,x-linked chondrodysplasia punctata 2,/condition/x-linked-chondrodysplasia-punctata-2
"Bones, muscles, and connective tissues",hard syndrome,walker-warburg syndrome,/condition/walker-warburg-syndrome
"Bones, muscles, and connective tissues",hay-wells syndrome,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,/condition/ankyloblepharon-ectodermal-defects-cleft-lip-palate-syndrome
"Bones, muscles, and connective tissues",hch,hypochondroplasia,/condition/hypochondroplasia
"Bones, muscles, and connective tissues","heart-hand syndrome, type 1",holt-oram syndrome,/condition/holt-oram-syndrome
"Bones, muscles, and connective tissues",hem dysplasia,greenberg dysplasia,/condition/greenberg-dysplasia
"Bones, muscles, and connective tissues",hem skeletal dysplasia,greenberg dysplasia,/condition/greenberg-dysplasia
"Bones, muscles, and connective tissues",hemangiomata with dyschondroplasia,maffucci syndrome,/condition/maffucci-syndrome
"Bones, muscles, and connective tissues",hemangiomatosis chondrodystrophica,maffucci syndrome,/condition/maffucci-syndrome
"Bones, muscles, and connective tissues",hemangiomatous branchial clefts-lip pseudocleft syndrome,branchio-oculo-facial syndrome,/condition/branchio-oculo-facial-syndrome
"Bones, muscles, and connective tissues",hemifacial microsomia,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues","hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",,/condition/hereditary-angiopathy-with-nephropathy-aneurysms-and-muscle-cramps-syndrome
"Bones, muscles, and connective tissues",hereditary arthro-ophthalmo-dystrophy,stickler syndrome,/condition/stickler-syndrome
"Bones, muscles, and connective tissues",hereditary arthro-ophthalmopathy,stickler syndrome,/condition/stickler-syndrome
"Bones, muscles, and connective tissues",hereditary desmoid disease,desmoid tumor,/condition/desmoid-tumor
"Bones, muscles, and connective tissues",hereditary hyperparathyroidism-jaw tumor syndrome,hyperparathyroidism-jaw tumor syndrome,/condition/hyperparathyroidism-jaw-tumor-syndrome
"Bones, muscles, and connective tissues",hereditary hypophosphatemic rickets,,/condition/hereditary-hypophosphatemic-rickets
"Bones, muscles, and connective tissues",hereditary inclusion body myopathy,inclusion body myopathy 2,/condition/inclusion-body-myopathy-2
"Bones, muscles, and connective tissues",hereditary insensitivity to pain with anhidrosis,congenital insensitivity to pain with anhidrosis,/condition/congenital-insensitivity-to-pain-with-anhidrosis
"Bones, muscles, and connective tissues",hereditary motor and sensory neuropathy,charcot-marie-tooth disease,/condition/charcot-marie-tooth-disease
"Bones, muscles, and connective tissues",hereditary motor neuronopathy,spinal muscular atrophy,/condition/spinal-muscular-atrophy
"Bones, muscles, and connective tissues",hereditary multicentric osteolysis,"multicentric osteolysis, nodulosis, and arthropathy",/condition/multicentric-osteolysis-nodulosis-and-arthropathy
"Bones, muscles, and connective tissues",hereditary multiple exostoses,,/condition/hereditary-multiple-exostoses
"Bones, muscles, and connective tissues",hereditary myoclonus with progressive distal muscular atrophy,spinal muscular atrophy with progressive myoclonic epilepsy,/condition/spinal-muscular-atrophy-with-progressive-myoclonic-epilepsy
"Bones, muscles, and connective tissues",hereditary myopathy with early respiratory failure,,/condition/hereditary-myopathy-with-early-respiratory-failure
"Bones, muscles, and connective tissues",hereditary myopathy with lactic acidosis,myopathy with deficiency of iron-sulfur cluster assembly enzyme,/condition/myopathy-with-deficiency-of-iron-sulfur-cluster-assembly-enzyme
"Bones, muscles, and connective tissues",hereditary neuralgic amyotrophy,,/condition/hereditary-neuralgic-amyotrophy
"Bones, muscles, and connective tissues",hereditary oligophrenic cerebello-lental degeneration,marinesco-sjögren syndrome,/condition/marinesco-sjogren-syndrome
"Bones, muscles, and connective tissues",hereditary onycho-osteodysplasia,nail-patella syndrome,/condition/nail-patella-syndrome
"Bones, muscles, and connective tissues",hereditary osteo-onychodysplasia,nail-patella syndrome,/condition/nail-patella-syndrome
"Bones, muscles, and connective tissues",hereditary osteodysplasia with acro-osteolysis,hajdu-cheney syndrome,/condition/hajdu-cheney-syndrome
"Bones, muscles, and connective tissues","hereditary sensory and autonomic neuropathy, type 4",congenital insensitivity to pain with anhidrosis,/condition/congenital-insensitivity-to-pain-with-anhidrosis
"Bones, muscles, and connective tissues",hereditary sensory and autonomic neuropathy type ii,,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii
"Bones, muscles, and connective tissues",hereditary sensory and autonomic neuropathy type iv,congenital insensitivity to pain with anhidrosis,/condition/congenital-insensitivity-to-pain-with-anhidrosis
"Bones, muscles, and connective tissues",hereditary sensory and autonomic neuropathy type v,,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v
"Bones, muscles, and connective tissues",hereditary spastic paraplegia,,/conditionGroup/spastic-paraplegia-hereditary
"Bones, muscles, and connective tissues",hereditary x-linked recessive spastic paraplegia,spastic paraplegia  type 2,/condition/spastic-paraplegia-type-2
"Bones, muscles, and connective tissues",heredofamilial neuritis with brachial plexus predilection,hereditary neuralgic amyotrophy,/condition/hereditary-neuralgic-amyotrophy
"Bones, muscles, and connective tissues",heterotopic ossification,progressive osseous heteroplasia,/condition/progressive-osseous-heteroplasia
"Bones, muscles, and connective tissues",heterozygous osmed,weissenbacher-zweymüller syndrome,/condition/weissenbacher-zweymuller-syndrome
"Bones, muscles, and connective tissues",heterozygous otospondylomegaepiphyseal dysplasia,weissenbacher-zweymüller syndrome,/condition/weissenbacher-zweymuller-syndrome
"Bones, muscles, and connective tissues",hfg syndrome,hand-foot-genital syndrome,/condition/hand-foot-genital-syndrome
"Bones, muscles, and connective tissues",hfgs,hand-foot-genital syndrome,/condition/hand-foot-genital-syndrome
"Bones, muscles, and connective tissues",hfm,craniofacial microsomia,/condition/craniofacial-microsomia
"Bones, muscles, and connective tissues",hftc,hyperphosphatemic familial tumoral calcinosis,/condition/hyperphosphatemic-familial-tumoral-calcinosis
"Bones, muscles, and connective tissues",hfu syndrome,hand-foot-genital syndrome,/condition/hand-foot-genital-syndrome
"Bones, muscles, and connective tissues",hgpps,horizontal gaze palsy with progressive scoliosis,/condition/horizontal-gaze-palsy-with-progressive-scoliosis
"Bones, muscles, and connective tissues",hgprt deficiency,lesch-nyhan syndrome,/condition/lesch-nyhan-syndrome
"Bones, muscles, and connective tissues",hgps,hutchinson-gilford progeria syndrome,/condition/hutchinson-gilford-progeria-syndrome
"Bones, muscles, and connective tissues",hibm,inclusion body myopathy 2,/condition/inclusion-body-myopathy-2
"Bones, muscles, and connective tissues",hjcys,hajdu-cheney syndrome,/condition/hajdu-cheney-syndrome
"Bones, muscles, and connective tissues",hmerf,hereditary myopathy with early respiratory failure,/condition/hereditary-myopathy-with-early-respiratory-failure
"Bones, muscles, and connective tissues",hml,myopathy with deficiency of iron-sulfur cluster assembly enzyme,/condition/myopathy-with-deficiency-of-iron-sulfur-cluster-assembly-enzyme
"Bones, muscles, and connective tissues",hmn v,"distal hereditary motor neuropathy, type v",/condition/distal-hereditary-motor-neuropathy-type-v
"Bones, muscles, and connective tissues",hmn6,spinal muscular atrophy with respiratory distress type 1,/condition/spinal-muscular-atrophy-with-respiratory-distress-type-1
"Bones, muscles, and connective tissues",hmnvi,spinal muscular atrophy with respiratory distress type 1,/condition/spinal-muscular-atrophy-with-respiratory-distress-type-1
"Bones, muscles, and connective tissues",hmsn,charcot-marie-tooth disease,/condition/charcot-marie-tooth-disease
"Bones, muscles, and connective tissues",hna,hereditary neuralgic amyotrophy,/condition/hereditary-neuralgic-amyotrophy
"Bones, muscles, and connective tissues",hokpp,hypokalemic periodic paralysis,/condition/hypokalemic-periodic-paralysis
"Bones, muscles, and connective tissues",holt-oram syndrome,,/condition/holt-oram-syndrome
"Bones, muscles, and connective tissues",homogentisic acid oxidase deficiency,alkaptonuria,/condition/alkaptonuria
"Bones, muscles, and connective tissues",homogentisic acidura,alkaptonuria,/condition/alkaptonuria
"Bones, muscles, and connective tissues",horizontal gaze palsy with progressive scoliosis,,/condition/horizontal-gaze-palsy-with-progressive-scoliosis
"Bones, muscles, and connective tissues",hos,holt-oram syndrome,/condition/holt-oram-syndrome
"Bones, muscles, and connective tissues",hpt-jt,hyperparathyroidism-jaw tumor syndrome,/condition/hyperparathyroidism-jaw-tumor-syndrome
"Bones, muscles, and connective tissues",hsan type ii,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii
"Bones, muscles, and connective tissues",hsan type iv,congenital insensitivity to pain with anhidrosis,/condition/congenital-insensitivity-to-pain-with-anhidrosis
"Bones, muscles, and connective tissues",hsan type v,hereditary sensory and autonomic neuropathy type v,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v
"Bones, muscles, and connective tissues",hsan v,hereditary sensory and autonomic neuropathy type v,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v
"Bones, muscles, and connective tissues",hsan2,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii
"Bones, muscles, and connective tissues",hsan4,congenital insensitivity to pain with anhidrosis,/condition/congenital-insensitivity-to-pain-with-anhidrosis
"Bones, muscles, and connective tissues",hsan5,hereditary sensory and autonomic neuropathy type v,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v
"Bones, muscles, and connective tissues",hsanii,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii
"Bones, muscles, and connective tissues",hsn type ii,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii
