diseaseName,Number of genes,score,geneSymbol,geneName,relurl,category
amyotrophic lateral sclerosis 8,1,0.72,VAPB,VAMP (vesicle-associated membrane protein)-associated protein B and C,/condition/craniofacial-microsomia,Brain and nervous system
cerebral cavernous malformations 2,1,0.72,CCM2,cerebral cavernous malformation 2,/condition/maffucci-syndrome,Brain and nervous system
"deafness, autosomal recessive 74",1,0.72,MSRB3,methionine sulfoxide reductase B3,/condition/costeff-syndrome,"Ear, nose, and throat"
"charcot-marie-tooth disease, axonal, type 2a1",1,0.72,KIF1B,kinesin family member 1B,/condition/charcot-marie-tooth-disease,Brain and nervous system
narcolepsy 1,3,0.72,HCRT,hypocretin (orexin) neuropeptide precursor,/condition/narcolepsy,Brain and nervous system
orofacial cleft 5,1,0.72,MSX1,msh homeobox 1,/condition/van-der-woude-syndrome,Mouth and teeth
"epiphyseal dysplasia, multiple, 1",1,0.72,COMP,cartilage oligomeric matrix protein,/condition/multiple-epiphyseal-dysplasia,"Bones, muscles, and connective tissues"
"deafness, autosomal recessive 9",1,0.72,OTOF,otoferlin,/condition/doors-syndrome,"Ear, nose, and throat"
"ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3",1,0.72,TP63,tumor protein p63,/condition/autoimmune-polyglandular-syndrome-type-1,"Bones, muscles, and connective tissues"
retinitis pigmentosa 13,1,0.72,PRPF8,pre-mRNA processing factor 8,/condition/retinitis-pigmentosa,Eyes and vision
progressive hearing loss stapes fixation,1,0.72,POU3F4,POU class 3 homeobox 4,/condition/palmoplantar-keratoderma-with-deafness,"Skin, hair, and nails"
"deafness, autosomal recessive 37",1,0.72,MYO6,myosin VI,/condition/vldlr-associated-cerebellar-hypoplasia,"Ear, nose, and throat"
joubert syndrome 3,1,0.72,AHI1,Abelson helper integration site 1,/condition/corticosterone-methyloxidase-deficiency,Brain and nervous system
"tooth agenesis, selective, 3",1,0.72,PAX9,paired box 9,/condition/andermann-syndrome,Brain and nervous system
"factor xiii, a subunit, deficiency of",1,0.72,F13A1,"coagulation factor XIII, A1 polypeptide",/condition/factor-xiii-deficiency,Blood/lymphatic system
"nephrotic syndrome, idiopathic, steroid-resistant",3,0.72,NPHS2,"nephrosis 2, idiopathic, steroid-resistant (podocin)",/condition/marinesco-sjogren-syndrome,Eyes and vision
"cataract, coppock-like",3,0.72,CRYGC,"crystallin, gamma C",,
"fibrosis of extraocular muscles, congenital, 3a, with or without extraocular involvement",1,0.72,TUBB3,"tubulin, beta 3 class III",/condition/congenital-hepatic-fibrosis,"Bones, muscles, and connective tissues"
"epiphyseal dysplasia, multiple, 5",1,0.72,MATN3,matrilin 3,/condition/multiple-epiphyseal-dysplasia,"Bones, muscles, and connective tissues"
noonan syndrome 5,1,0.72,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",/condition/pitt-hopkins-syndrome,Heart and circulation
"ceroid lipofuscinosis, neuronal, 2",3,0.72,TPP1,tripeptidyl peptidase I,/condition/kufs-disease,Brain and nervous system
"autism, susceptibility to, x-linked 1",1,0.72,NLGN3,neuroligin 3,/condition/16p112-duplication,Cancers
thyroid dyshormonogenesis 3,1,0.72,TG,thyroglobulin,,
"lissencephaly, x-linked, 2",1,0.72,ARX,aristaless related homeobox,/condition/x-linked-lissencephaly-with-abnormal-genitalia,Brain and nervous system
atrial septal defect 2,1,0.72,GATA4,GATA binding protein 4,/condition/oculofaciocardiodental-syndrome,Mouth and teeth
cornea plana 2,1,0.72,KERA,keratocan,,
holoprosencephaly 5,1,0.72,ZIC2,Zic family member 2,/condition/nonsyndromic-holoprosencephaly,Brain and nervous system
"deafness, autosomal recessive 3",1,0.72,MYO15A,myosin XVA,/condition/cerebral-autosomal-dominant-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy,"Ear, nose, and throat"
"surfactant metabolism dysfunction, pulmonary, 3",1,0.72,ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3",/condition/thiopurine-s-methyltransferase-deficiency,"Food, nutrition, and metabolism"
exudative vitreoretinopathy 5,1,0.72,TSPAN12,tetraspanin 12,/condition/familial-exudative-vitreoretinopathy,Eyes and vision
meretoja syndrome,1,0.72,GSN,gelsolin,/condition/lattice-corneal-dystrophy-type-ii,Brain and nervous system
"deafness, autosomal recessive 1a",3,0.72,GJB2,"gap junction protein, beta 2, 26kDa",/condition/22q112-deletion-syndrome,"Ear, nose, and throat"
"waardenburg syndrome, type 4b",1,0.72,EDN3,endothelin 3,/condition/axenfeld-rieger-syndrome,"Bones, muscles, and connective tissues"
"hemorrhagic destruction of the brain, subependymal calcification, and cataracts",1,0.72,JAM3,junctional adhesion molecule 3,,
"cerebral amyloid angiopathy, app-related",1,0.72,APP,amyloid beta (A4) precursor protein,/condition/lattice-corneal-dystrophy-type-ii,Eyes and vision
"muscular dystrophy, limb-girdle, type 2i",1,0.72,FKRP,fukutin related protein,/condition/alpers-huttenlocher-syndrome,"Bones, muscles, and connective tissues"
"ciliary dyskinesia, primary, 7",1,0.72,DNAH11,"dynein, axonemal, heavy chain 11",/condition/familial-paroxysmal-nonkinesigenic-dyskinesia,Brain and nervous system
"cardiomyopathy, familial hypertrophic, 2",1,0.72,TNNT2,troponin T type 2 (cardiac),/condition/microvillus-inclusion-disease,Heart and circulation
retinitis pigmentosa 7,1,0.72,PRPH2,"peripherin 2 (retinal degeneration, slow)",/condition/retinitis-pigmentosa,Eyes and vision
"arrhythmogenic right ventricular dysplasia, familial, 2",1,0.72,RYR2,ryanodine receptor 2 (cardiac),/condition/arrhythmogenic-right-ventricular-cardiomyopathy,Heart and circulation
"deafness, autosomal recessive 2",1,0.72,MYO7A,myosin VIIA,/condition/multiple-epiphyseal-dysplasia,"Ear, nose, and throat"
"epidermolysis bullosa simplex, ogna type",1,0.72,PLEC,plectin,/condition/epidermolysis-bullosa-with-pyloric-atresia,"Skin, hair, and nails"
retinitis pigmentosa 18,1,0.72,PRPF3,pre-mRNA processing factor 3,/condition/usher-syndrome,Eyes and vision
retinitis pigmentosa 4,1,0.72,RHO,rhodopsin,/condition/usher-syndrome,Eyes and vision
"progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 3",1,0.72,C10orf2,chromosome 10 open reading frame 2,/condition/progressive-external-ophthalmoplegia,Brain and nervous system
"parkinson disease 5, autosomal dominant",1,0.72,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase),/condition/gm2-gangliosidosis-ab-variant,"Bones, muscles, and connective tissues"
"macular degeneration, age-related, 4",2,0.72,CFH,complement factor H,/condition/multiple-system-atrophy,Eyes and vision
"hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency",1,0.72,GPI,glucose-6-phosphate isomerase,/condition/x-linked-sideroblastic-anemia,Blood/lymphatic system
nemaline myopathy 1,1,0.72,TPM3,tropomyosin 3,/condition/dilated-cardiomyopathy-with-ataxia-syndrome,Heart and circulation
"rhizomelic chondrodysplasia punctata, type 3",1,0.72,AGPS,alkylglycerone phosphate synthase,/condition/x-linked-chondrodysplasia-punctata-2,"Bones, muscles, and connective tissues"
"hemochromatosis, type 2a",2,0.72,HFE2,hemochromatosis type 2 (juvenile),/condition/hereditary-hemochromatosis,"Food, nutrition, and metabolism"
"cardiomyopathy, dilated, 1m",1,0.72,CSRP3,cysteine and glycine-rich protein 3 (cardiac LIM protein),/condition/familial-dilated-cardiomyopathy,Heart and circulation
"ceroid lipofuscinosis, neuronal, 6",2,0.72,CLN6,"ceroid-lipofuscinosis, neuronal 6, late infantile, variant",/condition/congenital-neuronal-ceroid-lipofuscinosis,Brain and nervous system
"parkinson disease 6, autosomal recessive early-onset",1,0.72,PINK1,PTEN induced putative kinase 1,/condition/danon-disease,Brain and nervous system
"deafness, autosomal recessive 63",1,0.72,LRTOMT,leucine rich transmembrane and O-methyltransferase domain containing,/condition/chst3-related-skeletal-dysplasia,"Ear, nose, and throat"
"muscular dystrophy, limb-girdle, type 1c",1,0.72,CAV3,caveolin 3,/condition/pol-iii-related-leukodystrophy,"Bones, muscles, and connective tissues"
thyroid dyshormonogenesis 6,1,0.72,DUOX2,dual oxidase 2,,
"epileptic encephalopathy, early infantile, 1",3,0.72,ARX,aristaless related homeobox,/condition/pol-iii-related-leukodystrophy,Reproductive system
"muscular dystrophy, congenital, type 1d",1,0.72,LARGE,like-glycosyltransferase,/condition/berardinelli-seip-congenital-lipodystrophy,"Bones, muscles, and connective tissues"
"cataract, pulverulent, juvenile-onset",1,0.72,MAF,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog,,
"spherocytosis, type 4",1,0.72,SLC4A1,"solute carrier family 4 (anion exchanger), member 1 (Diego blood group)",/condition/hereditary-spherocytosis,Blood/lymphatic system
"cardiomyopathy, familial hypertrophic, 14",1,0.72,MYH6,"myosin, heavy chain 6, cardiac muscle, alpha",/condition/transthyretin-amyloidosis,Heart and circulation
"spastic paraplegia 2, x-linked",1,0.72,PLP1,proteolipid protein 1,/condition/l1-syndrome,Brain and nervous system
"bartter syndrome, type 4a",3,0.72,BSND,barttin CLCNK-type chloride channel accessory beta subunit,/condition/aarskog-scott-syndrome,Reproductive system
"muscular dystrophy, limb-girdle, type 1a",1,0.72,MYOT,myotilin,/condition/doors-syndrome,"Bones, muscles, and connective tissues"
"cardiomyopathy, dilated, 1l",1,0.72,SGCD,"sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)",/condition/dmd-associated-dilated-cardiomyopathy,Heart and circulation
brugada syndrome 7,1,0.72,SCN3B,"sodium channel, voltage gated, type III beta subunit",/condition/sjogren-syndrome,Mouth and teeth
"hemophagocytic lymphohistiocytosis, familial, 2",4,0.72,PRF1,perforin 1 (pore forming protein),/condition/familial-hemophagocytic-lymphohistiocytosis,Immune system
"night blindness, congenital stationary, autosomal dominant 2",1,0.72,PDE6B,"phosphodiesterase 6B, cGMP-specific, rod, beta",/condition/color-vision-deficiency,Eyes and vision
"osteopetrosis, autosomal recessive 4",1,0.72,CLCN7,"chloride channel, voltage-sensitive 7",/condition/troyer-syndrome,Lungs and breathing
"glycogen storage disease, type ixd",1,0.72,PHKA1,"phosphorylase kinase, alpha 1 (muscle)",/condition/glycogen-storage-disease-type-v,"Bones, muscles, and connective tissues"
short qt syndrome 1,1,0.72,KCNH2,"potassium channel, voltage gated eag related subfamily H, member 2",/condition/3-hydroxyacyl-coa-dehydrogenase-deficiency,"Bones, muscles, and connective tissues"
"night blindness, congenital stationary, autosomal dominant 1",1,0.72,RHO,rhodopsin,/condition/x-linked-congenital-stationary-night-blindness,Eyes and vision
"spastic paraplegia 13, autosomal dominant",1,0.72,HSPD1,heat shock 60kDa protein 1 (chaperonin),/condition/l1-syndrome,"Bones, muscles, and connective tissues"
"erythrocytosis, familial, 2",2,0.72,VHL,"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase",/condition/hyperkalemic-periodic-paralysis,Brain and nervous system
"immunodeficiency syndrome, variable",2,0.72,DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,/condition/barth-syndrome,Heart and circulation
"deafness, autosomal recessive 12",2,0.72,CDH23,cadherin-related 23,/condition/hereditary-sensory-neuropathy-type-ia,"Ear, nose, and throat"
"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy",1,0.72,TDP1,tyrosyl-DNA phosphodiesterase 1,/condition/episodic-ataxia,Brain and nervous system
"deafness, autosomal recessive 59",1,0.72,DFNB59,"deafness, autosomal recessive 59",/condition/autosomal-recessive-hyper-ige-syndrome,"Ear, nose, and throat"
"granulomatous disease, chronic, x-linked",1,0.72,CYBB,"cytochrome b-245, beta polypeptide",/condition/danon-disease,Brain and nervous system
"cardiomyopathy, familial hypertrophic, 4",1,0.72,MYBPC3,"myosin binding protein C, cardiac",/condition/catecholaminergic-polymorphic-ventricular-tachycardia,Heart and circulation
mitochondrial dna depletion syndrome 2 (myopathic type),2,0.72,TK2,"thymidine kinase 2, mitochondrial",/condition/tk2-related-mitochondrial-dna-depletion-syndrome-myopathic-form,"Bones, muscles, and connective tissues"
"ceroid lipofuscinosis, neuronal, 10",1,0.72,CTSD,cathepsin D,/condition/kufs-disease,Brain and nervous system
holoprosencephaly 3,2,0.72,SHH,sonic hedgehog,/condition/nonsyndromic-holoprosencephaly,Brain and nervous system
"granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type i",1,0.72,NCF1,neutrophil cytosolic factor 1,/condition/spinocerebellar-ataxia-type-3,Heart and circulation
sitosterolemia,2,0.72,ABCG5,"ATP-binding cassette, sub-family G (WHITE), member 5",/condition/sitosterolemia,Blood/lymphatic system
"parkinson disease 1, autosomal dominant",1,0.72,SNCA,"synuclein, alpha (non A4 component of amyloid precursor)",/condition/galactosemia,"Food, nutrition, and metabolism"
"deafness, autosomal dominant 13",1,0.72,COL11A2,"collagen, type XI, alpha 2",/condition/autosomal-recessive-cerebellar-ataxia-type-1,"Ear, nose, and throat"
"cardiomyopathy, dilated, 1g",1,0.72,TTN,titin,/condition/familial-dilated-cardiomyopathy,Heart and circulation
focal segmental glomerulosclerosis 2,1,0.72,TRPC6,"transient receptor potential cation channel, subfamily C, member 6",,
joubert syndrome 6,1,0.72,TMEM67,transmembrane protein 67,/condition/andersen-tawil-syndrome,"Skin, hair, and nails"
"charcot-marie-tooth disease, type 2b1",1,0.72,LMNA,lamin A/C,/condition/charcot-marie-tooth-disease,"Bones, muscles, and connective tissues"
"deafness, autosomal dominant 25",2,0.72,SLC17A8,"solute carrier family 17 (vesicular glutamate transporter), member 8",/condition/22q112-deletion-syndrome,"Ear, nose, and throat"
"usher syndrome, type ig",2,0.72,USH1G,Usher syndrome 1G (autosomal recessive),/condition/pol-iii-related-leukodystrophy,Kidneys and urinary system
"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 6",1,0.72,LARGE,like-glycosyltransferase,/condition/doors-syndrome,"Bones, muscles, and connective tissues"
