gene	diseaseName	score_hpo
AMN	Dementia	1
AMN	Confusion	1
AMN	Childhood onset	1
CUBN	Autosomal recessive inheritance	1
CUBN	Malabsorption of Vitamin B12	1
CUBN	Sensory impairment	1
CUBN	Proteinuria	1
CUBN	Paresthesia	1
CUBN	Megaloblastic anemia	1
CUBN	Dementia	1
CUBN	Confusion	1
CUBN	Childhood onset	1
LTBP2	Autosomal recessive inheritance	1
LTBP2	Iridodonesis	1
LTBP2	Megalocornea	1
LTBP2	Ectopia lentis	1
LTBP2	Hypermetropia	1
LTBP2	Deep anterior chamber	1
LTBP2	High palate	1
RBP4	Iris coloboma	1
RBP4	Chorioretinal coloboma	1
RBP4	Microphthalmia	1
GJB3	Patchy palmoplantar keratoderma	1
GJB3	Abnormality of the fingernails	1
GJB3	Infantile onset	1
GJB3	Abnormal blistering of the skin	1
GJB3	Microcephaly	1
GJB3	Hypermelanotic macule	1
GJB3	Neoplasm of the skin	1
GJB3	Tapered finger	1
GJB3	Abnormality of the pinna	1
GJB3	Short stature	1
GJB3	Alopecia	1
GJB3	Hyperhidrosis	1
GJB3	Hearing impairment	1
GJB3	Diabetes mellitus	1
GJB3	Weight loss	1
GJB3	Autosomal dominant inheritance	1
GJB3	Erythema	1
GJB3	Corneal dystrophy	1
GJB3	Generalized hyperkeratosis	1
GJB3	Limitation of joint mobility	1
GJB3	Glaucoma	1
GJB3	Dry skin	1
GJB3	Cutaneous photosensitivity	1
GJB3	Abnormality of the testis	1
GJB3	Cataract	1
GJB3	Autosomal recessive inheritance	1
GJB3	Skin rash	1
GJB3	Brachydactyly syndrome	1
GJB3	Hypertrichosis	1
GJB3	Opacification of the corneal stroma	1
GJB3	Cognitive impairment	1
GJA1	Patchy palmoplantar keratoderma	1
GJA1	Abnormality of the fingernails	1
GJA1	Infantile onset	1
GJA1	Abnormal blistering of the skin	1
GJA1	Microcephaly	1
GJA1	Hypermelanotic macule	1
GJA1	Neoplasm of the skin	1
GJA1	Tapered finger	1
GJA1	Abnormality of the pinna	1
GJA1	Short stature	1
GJA1	Alopecia	1
GJA1	Hyperhidrosis	1
GJA1	Hearing impairment	1
GJA1	Diabetes mellitus	1
GJA1	Weight loss	1
GJA1	Autosomal dominant inheritance	1
GJA1	Erythema	1
GJA1	Corneal dystrophy	1
GJA1	Generalized hyperkeratosis	1
GJA1	Limitation of joint mobility	1
GJA1	Glaucoma	1
GJA1	Dry skin	1
GJA1	Cutaneous photosensitivity	1
GJA1	Abnormality of the testis	1
GJA1	Cataract	1
GJA1	Autosomal recessive inheritance	1
GJA1	Skin rash	1
GJA1	Brachydactyly syndrome	1
GJA1	Hypertrichosis	1
GJA1	Opacification of the corneal stroma	1
GJA1	Cognitive impairment	1
GJB4	Patchy palmoplantar keratoderma	1
GJB4	Abnormality of the fingernails	1
GJB4	Infantile onset	1
GJB4	Abnormal blistering of the skin	1
GJB4	Microcephaly	1
GJB4	Hypermelanotic macule	1
GJB4	Neoplasm of the skin	1
GJB4	Tapered finger	1
GJB4	Abnormality of the pinna	1
GJB4	Short stature	1
GJB4	Alopecia	1
GJB4	Hyperhidrosis	1
GJB4	Hearing impairment	1
GJB4	Diabetes mellitus	1
GJB4	Weight loss	1
GJB4	Autosomal dominant inheritance	1
GJB4	Erythema	1
GJB4	Corneal dystrophy	1
GJB4	Generalized hyperkeratosis	1
GJB4	Limitation of joint mobility	1
GJB4	Glaucoma	1
GJB4	Dry skin	1
GJB4	Cutaneous photosensitivity	1
GJB4	Abnormality of the testis	1
GJB4	Cataract	1
GJB4	Autosomal recessive inheritance	1
GJB4	Skin rash	1
GJB4	Brachydactyly syndrome	1
GJB4	Hypertrichosis	1
GJB4	Opacification of the corneal stroma	1
GJB4	Cognitive impairment	1
CANT1	Medial deviation of the foot	1
CANT1	Waddling gait	1
CANT1	Advanced tarsal ossification	1
CANT1	Variable expressivity	1
CANT1	Narrow mouth	1
CANT1	Flat acetabular roof	1
CANT1	Depressed nasal bridge	1
CANT1	Talipes equinovarus	1
CANT1	Genu varum	1
CANT1	Microretrognathia	1
CANT1	Scoliosis	1
CANT1	Short neck	1
CANT1	Malar flattening	1
CANT1	Autosomal recessive inheritance	1
CANT1	Short nose	1
CANT1	Proptosis	1
CANT1	Narrow chest	1
CANT1	Metaphyseal widening	1
CANT1	Kyphosis	1
CANT1	Round face	1
CANT1	Sandal gap	1
CANT1	Disproportionate short-limb short stature	1
CANT1	Osteoarthritis	1
CANT1	Hypoplasia of midface	1
CANT1	Obesity	1
CANT1	Short femoral neck	1
CANT1	Muscular hypotonia	1
CANT1	Flattened epiphysis	1
CANT1	Coxa vara	1
CANT1	Proximal fibular overgrowth	1
CANT1	Severe short stature	1
CANT1	Platyspondyly	1
CANT1	Brachydactyly syndrome	1
CANT1	Short 1st metacarpal	1
CANT1	Radioulnar dislocation	1
CANT1	Myopia	1
CANT1	Hyperlordosis	1
CANT1	Congenital glaucoma	1
CANT1	Intellectual disability	1
CANT1	Advanced ossification of carpal bones	1
CANT1	Coxa valga	1
CANT1	Short metatarsal	1
CANT1	Bifid distal phalanx of the thumb	1
CANT1	Joint laxity	1
CANT1	Broad femoral neck	1
CANT1	Osteoporosis	1
CANT1	Partial duplication of the distal phalanx of the hallux	1
CANT1	Pes planus	1
CANT1	Broad first metatarsal	1
CANT1	Motor delay	1
CANT1	Phalangeal dislocation	1
TPM3	Autosomal recessive inheritance	1
TPM3	Distal lower limb amyotrophy	1
TPM3	Respiratory insufficiency	1
TPM3	Distal lower limb muscle weakness	1
TPM3	Long face	1
TPM3	Scoliosis	1
TPM3	Facial diplegia	1
TPM3	Pes cavus	1
TPM3	Neck muscle weakness	1
TPM3	EMG: myopathic abnormalities	1
TPM3	Autosomal dominant inheritance	1
TPM3	Shoulder girdle muscle atrophy	1
TPM3	Pectus excavatum	1
TPM3	Motor delay	1
TPM3	Nemaline bodies	1
TPM3	Proximal muscle weakness	1
TPM3	Generalized muscle weakness	1
TPM3	High palate	1
TPM3	Juvenile onset	1
TPM3	Narrow face	1
TPM3	Flexion contracture	1
TPM3	Dysphagia	1
KRT10	Ichthyosis	1
KRT10	Skin ulcer	1
KRT10	Abnormal blistering of the skin	1
KRT10	Conjunctival hamartoma	1
KRT10	Weight loss	1
KRT10	Palmoplantar keratoderma	1
KRT10	Melanocytic nevus	1
KRT1	Ichthyosis	1
KRT1	Skin ulcer	1
KRT1	Abnormal blistering of the skin	1
KRT1	Conjunctival hamartoma	1
KRT1	Weight loss	1
KRT1	Palmoplantar keratoderma	1
KRT1	Melanocytic nevus	1
NPC2	Ataxia	1
NPC2	Respiratory failure	1
NPC2	Seizures	1
NPC2	Dysphagia	1
NPC2	Sea-blue histiocytosis	1
NPC2	Muscular hypotonia	1
NPC2	Dysarthria	1
NPC2	Neurofibrillary tangles	1
NPC2	Loss of speech	1
NPC2	Cataplexy	1
NPC2	Foam cells in visceral organs and CNS	1
NPC2	Perseveration	1
NPC2	Fetal ascites	1
NPC2	Onset	1
NPC2	Autosomal recessive inheritance	1
NPC2	Intellectual disability	1
NPC2	Stereotypic behavior	1
NPC2	Vertical supranuclear gaze palsy	1
NPC2	Bone-marrow foam cells	1
NPC2	Spasticity	1
NPC2	Splenomegaly	1
NPC2	Prolonged neonatal jaundice	1
NPC2	Hepatomegaly	1
NPC2	Psychosis	1
NPC2	Global developmental delay	1
NPC2	Dementia	1
NPC2	Abnormal cholesterol homeostasis	1
NPC2	Dystonia	1
NPC2	Low cholesterol esterification rates	1
TSC1	Renal cell carcinoma	1
TSC1	Cortical tubers	1
TSC1	Abnormality of the respiratory system	1
TSC1	Astrocytoma	1
TSC1	Autosomal dominant inheritance	1
TSC1	Precocious puberty	1
TSC1	Shagreen patch	1
TSC1	Dental enamel pits	1
TSC1	Cardiac rhabdomyoma	1
TSC1	Autism	1
TSC1	Subungual fibromas	1
TSC1	Cerebral calcification	1
TSC1	Renal angiomyolipoma	1
TSC1	Premature chromatid separation	1
TSC1	Chordoma	1
TSC1	Cafe-au-lait spot	1
TSC1	Projection of scalp hair onto lateral cheek	1
TSC1	Achromatic retinal patches	1
TSC1	Ependymoma	1
TSC1	Hypomelanotic macule	1
TSC1	Optic glioma	1
TSC1	Adenoma sebaceum	1
TSC1	Specific learning disability	1
TSC1	Infantile spasms	1
TSC1	Intellectual disability	1
TSC1	Subependymal nodules	1
TSC1	Attention deficit hyperactivity disorder	1
TSC1	Gingival fibromatosis	1
TSC1	Subcutaneous nodule	1
TSC1	Phenotypic variability	1
TSC1	Renal cyst	1
TSC1	Wolff-Parkinson-White syndrome	1
TSC1	Hypothyroidism	1
HSD17B10	Hypertrophic cardiomyopathy	1
HSD17B10	Developmental regression	1
HSD17B10	Muscular hypotonia	1
HSD17B10	Infantile onset	1
HSD17B10	Seizures	1
HSD17B10	Nystagmus	1
HSD17B10	Hypoglycemia	1
HSD17B10	Retinal degeneration	1
HSD17B10	Intellectual disability	1
HSD17B10	X-linked dominant inheritance	1
HSD17B10	Progressive neurologic deterioration	1
HSD17B10	Metabolic acidosis	1
HSD17B10	Restlessness	1
HSD17B10	Choreoathetosis	1
HSD17B10	Lactic acidosis	1
HSD17B10	Sensorineural hearing impairment	1
HSD17B10	Delayed speech and language development	1
HSD17B10	Global developmental delay	1
SCN1A	Mental deterioration	1
SCN1A	Absence seizures	1
SCN1A	Cortical visual impairment	1
SCN1A	Focal seizures with impairment of consciousness or awareness	1
SCN1A	Global developmental delay	1
SCN1A	Infantile onset	1
SCN1A	Postnatal microcephaly	1
SCN1A	Autosomal dominant inheritance	1
SCN1A	Motor delay	1
SCN1A	Generalized myoclonic seizures	1
SCN1A	Hemiclonic seizures	1
SCN1A	Ataxia	1
SCN1A	Cerebral atrophy	1
SCN1A	Epileptic encephalopathy	1
SCN1A	Status epilepticus	1
TCAP	Autosomal dominant inheritance	1
TCAP	Left ventricular hypertrophy	1
TCAP	Dilated cardiomyopathy	1
TCAP	Wolff-Parkinson-White syndrome	1
HCN4	Ventricular tachycardia	1
HCN4	ST segment elevation	1
TBX1	Underdeveloped nasal alae	1
TBX1	Retrognathia	1
TBX1	Tetralogy of Fallot	1
TBX1	Paranoia	1
TBX1	Muscular hypotonia	1
TBX1	Bulbous nose	1
TBX1	Abnormality of the hand	1
TBX1	Microcephaly	1
TBX1	Abnormality of the endocrine system	1
TBX1	Intellectual disability	1
TBX1	Retinal vascular tortuosity	1
TBX1	Ventricular septal defect	1
TBX1	Right aortic arch with mirror image branching	1
TBX1	Blepharophimosis	1
TBX1	Hypocalcemia	1
TBX1	Umbilical hernia	1
TBX1	Short stature	1
TBX1	Impaired T cell function	1
TBX1	Unilateral primary pulmonary dysgenesis	1
TBX1	Autosomal dominant inheritance	1
TBX1	Posterior embryotoxon	1
TBX1	Specific learning disability	1
TBX1	Nasal speech	1
TBX1	Mood swings	1
TBX1	Pierre-Robin sequence	1
TBX1	Velopharyngeal insufficiency	1
TBX1	Abnormality of the ear	1
TBX1	Inguinal hernia	1
TBX1	Open mouth	1
TBX1	Cleft palate	1
TBX1	Aggressive behavior	1
TBX1	Recurrent infections	1
DCTN1	Vocal cord paralysis	1
DCTN1	Distal muscle weakness	1
DCTN1	Facial palsy	1
DCTN1	Slow progression	1
DCTN1	Lower limb muscle weakness	1
DCTN1	Distal amyotrophy	1
DCTN1	Hand muscle weakness	1
DCTN1	Abnormal lower motor neuron morphology	1
DCTN1	Hand muscle atrophy	1
DCTN1	Autosomal dominant inheritance	1
DCTN1	Adult onset	1
GDF6	Autosomal dominant inheritance	1
GDF6	Microphthalmia	1
GDF6	Postaxial polydactyly	1
GDF6	Coloboma	1
GDF6	Aplasia of the testes	1
ALPL	Micromelia	1
ALPL	Anorexia	1
ALPL	Autosomal recessive inheritance	1
ALPL	Skin dimple over apex of long bone angulation	1
ALPL	Elevated urine pyrophosphate	1
ALPL	Seizures	1
ALPL	Apnea	1
ALPL	Nephrocalcinosis	1
ALPL	Disproportionate short-limb short stature	1
ALPL	Recurrent respiratory infections	1
ALPL	Elevated plasma pyrophosphate	1
ALPL	Constipation	1
ALPL	Hypercalciuria	1
ALPL	Increased susceptibility to fractures	1
ALPL	Bowing of the legs	1
ALPL	Short lower limbs	1
ALPL	Rachitic rosary	1
ALPL	Death in infancy	1
ALPL	Phosphoethanolaminuria	1
ALPL	Vomiting	1
ALPL	Hypercalcemia	1
ALPL	Blue sclerae	1
ALPL	Vertebral clefting	1
ALPL	Polyhydramnios	1
ALPL	Fever	1
ALPL	Stillbirth	1
ALPL	Platyspondyly	1
ALPL	Abnormality of the teeth	1
ALPL	Metaphyseal cupping	1
ALPL	Abnormality of the voice	1
ALPL	Short ribs	1
ALPL	Muscular hypotonia	1
ALPL	Failure to thrive	1
ALPL	Decreased calvarial ossification	1
ALPL	Irritability	1
ALPL	Intracranial hemorrhage	1
ALPL	Craniosynostosis	1
ALPL	Anemia	1
ALPL	Widely patent fontanelles and sutures	1
ALPL	Unossified vertebral bodies	1
PLAT	Autosomal dominant inheritance	1
PLAT	Recurrent deep vein thrombosis	1
PLAT	Hypercoagulability	1
CRB1	Paravenous chorioretinal atrophy	1
CRB1	Vitreoretinal degeneration	1
CRB1	Bone spicule pigmentation of the retina	1
CRB1	Hypermetropia	1
CRB1	Esotropia	1
GFI1	Monocytosis	1
GFI1	Autosomal dominant inheritance	1
GFI1	B lymphocytopenia	1
GFI1	Congenital neutropenia	1
TSR2	Thick lower lip vermilion	1
TSR2	Abnormality of the hand	1
TSR2	Short stature	1
TSR2	Migraine	1
TSR2	Pallor	1
TSR2	Abnormality of the urinary system	1
TSR2	Macrocytic anemia	1
TSR2	Acute leukemia	1
TSR2	Cleft palate	1
TSR2	Abnormality of the genital system	1
TSR2	Short nose	1
TSR2	Arrhythmia	1
TSR2	Depressed nasal ridge	1
RPS17	Thick lower lip vermilion	1
RPS17	Abnormality of the hand	1
RPS17	Short stature	1
RPS17	Migraine	1
RPS17	Pallor	1
RPS17	Abnormality of the urinary system	1
RPS17	Macrocytic anemia	1
RPS17	Acute leukemia	1
RPS17	Cleft palate	1
RPS17	Abnormality of the genital system	1
RPS17	Short nose	1
RPS17	Arrhythmia	1
RPS17	Depressed nasal ridge	1
RPL26	Thick lower lip vermilion	1
RPL26	Abnormality of the hand	1
RPL26	Short stature	1
RPL26	Migraine	1
RPL26	Pallor	1
RPL26	Abnormality of the urinary system	1
RPL26	Macrocytic anemia	1
RPL26	Acute leukemia	1
RPL26	Cleft palate	1
RPL26	Abnormality of the genital system	1
RPL26	Short nose	1
RPL26	Arrhythmia	1
RPL26	Depressed nasal ridge	1
RPL5	Thick lower lip vermilion	1
RPL5	Abnormality of the hand	1
RPL5	Short stature	1
RPL5	Migraine	1
RPL5	Pallor	1
RPL5	Abnormality of the urinary system	1
RPL5	Macrocytic anemia	1
RPL5	Acute leukemia	1
RPL5	Cleft palate	1
RPL5	Abnormality of the genital system	1
RPL5	Short nose	1
RPL5	Arrhythmia	1
RPL5	Depressed nasal ridge	1
RPS19	Thick lower lip vermilion	1
RPS19	Abnormality of the hand	1
RPS19	Short stature	1
RPS19	Migraine	1
RPS19	Pallor	1
RPS19	Abnormality of the urinary system	1
RPS19	Macrocytic anemia	1
RPS19	Acute leukemia	1
RPS19	Cleft palate	1
RPS19	Abnormality of the genital system	1
RPS19	Short nose	1
RPS19	Arrhythmia	1
RPS19	Depressed nasal ridge	1
RPS24	Thick lower lip vermilion	1
RPS24	Abnormality of the hand	1
RPS24	Short stature	1
RPS24	Migraine	1
RPS24	Pallor	1
RPS24	Abnormality of the urinary system	1
RPS24	Macrocytic anemia	1
RPS24	Acute leukemia	1
RPS24	Cleft palate	1
RPS24	Abnormality of the genital system	1
RPS24	Short nose	1
RPS24	Arrhythmia	1
RPS24	Depressed nasal ridge	1
RPL35A	Thick lower lip vermilion	1
RPL35A	Abnormality of the hand	1
RPL35A	Short stature	1
RPL35A	Migraine	1
RPL35A	Pallor	1
RPL35A	Abnormality of the urinary system	1
RPL35A	Macrocytic anemia	1
RPL35A	Acute leukemia	1
RPL35A	Cleft palate	1
RPL35A	Abnormality of the genital system	1
RPL35A	Short nose	1
RPL35A	Arrhythmia	1
RPL35A	Depressed nasal ridge	1
RPL11	Thick lower lip vermilion	1
RPL11	Abnormality of the hand	1
RPL11	Short stature	1
RPL11	Migraine	1
RPL11	Pallor	1
RPL11	Abnormality of the urinary system	1
RPL11	Macrocytic anemia	1
RPL11	Acute leukemia	1
RPL11	Cleft palate	1
RPL11	Abnormality of the genital system	1
RPL11	Short nose	1
RPL11	Arrhythmia	1
RPL11	Depressed nasal ridge	1
RPS26	Thick lower lip vermilion	1
RPS26	Abnormality of the hand	1
RPS26	Short stature	1
RPS26	Migraine	1
RPS26	Pallor	1
RPS26	Abnormality of the urinary system	1
RPS26	Macrocytic anemia	1
RPS26	Acute leukemia	1
RPS26	Cleft palate	1
RPS26	Abnormality of the genital system	1
RPS26	Short nose	1
RPS26	Arrhythmia	1
RPS26	Depressed nasal ridge	1
RPS7	Thick lower lip vermilion	1
RPS7	Abnormality of the hand	1
RPS7	Short stature	1
RPS7	Migraine	1
RPS7	Pallor	1
RPS7	Abnormality of the urinary system	1
RPS7	Macrocytic anemia	1
RPS7	Acute leukemia	1
RPS7	Cleft palate	1
RPS7	Abnormality of the genital system	1
RPS7	Short nose	1
RPS7	Arrhythmia	1
RPS7	Depressed nasal ridge	1
RPL15	Thick lower lip vermilion	1
RPL15	Abnormality of the hand	1
RPL15	Short stature	1
RPL15	Migraine	1
RPL15	Pallor	1
RPL15	Abnormality of the urinary system	1
RPL15	Macrocytic anemia	1
RPL15	Acute leukemia	1
RPL15	Cleft palate	1
RPL15	Abnormality of the genital system	1
RPL15	Short nose	1
RPL15	Arrhythmia	1
RPL15	Depressed nasal ridge	1
RPS28	Thick lower lip vermilion	1
RPS28	Abnormality of the hand	1
RPS28	Short stature	1
RPS28	Migraine	1
RPS28	Pallor	1
RPS28	Abnormality of the urinary system	1
RPS28	Macrocytic anemia	1
RPS28	Acute leukemia	1
RPS28	Cleft palate	1
RPS28	Abnormality of the genital system	1
RPS28	Short nose	1
RPS28	Arrhythmia	1
RPS28	Depressed nasal ridge	1
RPS29	Thick lower lip vermilion	1
RPS29	Abnormality of the hand	1
RPS29	Short stature	1
RPS29	Migraine	1
RPS29	Pallor	1
RPS29	Abnormality of the urinary system	1
RPS29	Macrocytic anemia	1
RPS29	Acute leukemia	1
RPS29	Cleft palate	1
RPS29	Abnormality of the genital system	1
RPS29	Short nose	1
RPS29	Arrhythmia	1
RPS29	Depressed nasal ridge	1
RPS10	Thick lower lip vermilion	1
RPS10	Abnormality of the hand	1
RPS10	Short stature	1
RPS10	Migraine	1
RPS10	Pallor	1
RPS10	Abnormality of the urinary system	1
RPS10	Macrocytic anemia	1
RPS10	Acute leukemia	1
RPS10	Cleft palate	1
RPS10	Abnormality of the genital system	1
RPS10	Short nose	1
RPS10	Arrhythmia	1
RPS10	Depressed nasal ridge	1
GATA1	Thick lower lip vermilion	1
GATA1	Abnormality of the hand	1
GATA1	Short stature	1
GATA1	Migraine	1
GATA1	Pallor	1
GATA1	Abnormality of the urinary system	1
GATA1	Macrocytic anemia	1
GATA1	Acute leukemia	1
GATA1	Cleft palate	1
GATA1	Abnormality of the genital system	1
GATA1	Short nose	1
GATA1	Arrhythmia	1
GATA1	Depressed nasal ridge	1
SMPD1	Bone-marrow foam cells	1
SMPD1	Constipation	1
SMPD1	Cherry red spot of the macula	1
SMPD1	Spasticity	1
SMPD1	Lymphadenopathy	1
SMPD1	Vomiting	1
SMPD1	Global developmental delay	1
SMPD1	Intellectual disability	1
SMPD1	Failure to thrive	1
SMPD1	Athetosis	1
SMPD1	Prolonged neonatal jaundice	1
SMPD1	Infantile onset	1
SMPD1	Microcytic anemia	1
SMPD1	Diffuse reticular or finely nodular infiltrations	1
SMPD1	Osteoporosis	1
SMPD1	Autosomal recessive inheritance	1
SMPD1	Muscular hypotonia	1
SMPD1	Hepatomegaly	1
SMPD1	Hyporeflexia	1
SMPD1	Muscle weakness	1
SMPD1	Rigidity	1
SMPD1	Protuberant abdomen	1
SMPD1	Foam cells with lamellar inclusion bodies	1
SMPD1	Splenomegaly	1
SMPD1	Short stature	1
SMPD1	Feeding difficulties in infancy	1
SMPD1	Recurrent respiratory infections	1
SMPD1	Sea-blue histiocytosis	1
SMPD1	Xanthomatosis	1
FAT4	Growth delay	1
FAT4	Blepharophimosis	1
FAT4	Pericardial lymphangiectasia	1
FAT4	Intestinal lymphangiectasia	1
FAT4	Microtia	1
FAT4	Camptodactyly	1
FAT4	Pulmonary lymphangiectasia	1
FAT4	Depressed nasal bridge	1
FAT4	Flat face	1
FAT4	Lymphedema	1
FAT4	Hypertelorism	1
FAT4	Irregular dentition	1
FAT4	Epicanthus	1
FAT4	Narrow mouth	1
FAT4	Hearing impairment	1
DHCR24	Low-set, posteriorly rotated ears	1
DHCR24	Frontal bossing	1
DHCR24	Short nose	1
DHCR24	Gingival fibromatosis	1
DHCR24	Anomalous pulmonary venous return	1
DHCR24	Micrognathia	1
DHCR24	Macrocephaly	1
DHCR24	Aplasia/Hypoplasia of the corpus callosum	1
DHCR24	Cupped ear	1
DHCR24	Bilateral talipes equinovarus	1
DHCR24	Short stature	1
DHCR24	Arthrogryposis multiplex congenita	1
DHCR24	Microcephaly	1
DHCR24	Cleft palate	1
DHCR24	Strabismus	1
DHCR24	Ventriculomegaly	1
DHCR24	Limb undergrowth	1
DHCR24	Cognitive impairment	1
DHCR24	Epicanthus	1
DHCR24	Global developmental delay	1
DHCR24	Hydrocephalus	1
DHCR24	Nystagmus	1
DHCR24	Failure to thrive	1
DHCR24	Abnormality of cholesterol metabolism	1
DHCR24	Partial agenesis of the corpus callosum	1
DHCR24	Anteverted nares	1
DHCR24	Large earlobe	1
DHCR24	Seizures	1
DHCR24	Intrauterine growth retardation	1
DHCR24	Ambiguous genitalia, male	1
DHCR24	Abnormality of neuronal migration	1
DHCR24	Renal hypoplasia/aplasia	1
DHCR24	Ambiguous genitalia	1
DHCR24	Narrow mouth	1
DHCR24	Posteriorly rotated ears	1
DHCR24	Relative macrocephaly	1
DHCR24	Increased bone mineral density	1
DHCR24	Phenotypic variability	1
DHCR24	Generalized osteosclerosis	1
DHCR24	Hypertonia	1
DHCR24	Patent ductus arteriosus	1
DHCR24	Hypoplastic nasal bridge	1
DHCR24	Intestinal malrotation	1
DHCR24	Depressed nasal bridge	1
DHCR24	Aplasia/Hypoplasia of the skin	1
DHCR24	Alveolar ridge overgrowth	1
DHCR24	Total anomalous pulmonary venous return	1
DHCR24	Ambiguous genitalia, female	1
DHCR24	Joint contracture of the hand	1
DHCR24	Spasticity	1
DHCR24	Splenomegaly	1
DHCR24	Rhizomelia	1
DHCR24	Autosomal recessive inheritance	1
DHCR24	Downslanted palpebral fissures	1
DHCR24	Aplasia/Hypoplasia involving the nose	1
DHCR24	Low-set ears	1
DHCR24	Talipes	1
DHCR24	Abnormality of the ribs	1
NRAS	Webbed neck	1
NRAS	Asymmetry of the thorax	1
NRAS	Short stature	1
NRAS	Myopia	1
NRAS	Cryptorchidism	1
NRAS	Macrocephaly	1
NRAS	Generalized hypotonia	1
NRAS	Hypertelorism	1
NRAS	Low-set ears	1
NRAS	Intellectual disability, mild	1
NRAS	Hyperkeratosis	1
NRAS	Delayed speech and language development	1
NRAS	Curly hair	1
NRAS	Hypertrophic cardiomyopathy	1
NRAS	Pulmonic stenosis	1
CASR	Pancreatitis	1
CASR	Hyperparathyroidism	1
CASR	Nephrolithiasis	1
CASR	Hypercalcemia	1
CASR	Hypermagnesemia	1
CASR	Autosomal dominant inheritance	1
CASR	Hypocalciuria	1
IGHMBP2	Tachypnea	1
IGHMBP2	Ventilator dependence with inability to wean	1
IGHMBP2	Weak cry	1
IGHMBP2	Respiratory failure	1
IGHMBP2	Degeneration of anterior horn cells	1
IGHMBP2	Distal muscle weakness	1
IGHMBP2	Inspiratory stridor	1
IGHMBP2	Spinal muscular atrophy	1
IGHMBP2	Diaphragmatic eventration	1
IGHMBP2	Camptodactyly of finger	1
IGHMBP2	Talipes equinovarus	1
IGHMBP2	Hyporeflexia	1
IGHMBP2	Distal amyotrophy	1
IGHMBP2	Peripheral axonal degeneration	1
IGHMBP2	Denervation of the diaphragm	1
IGHMBP2	EMG: neuropathic changes	1
IGHMBP2	Constipation	1
IGHMBP2	Small for gestational age	1
IGHMBP2	Autosomal recessive inheritance	1
IGHMBP2	Premature birth	1
IGHMBP2	Intrauterine growth retardation	1
IGHMBP2	Urinary incontinence	1
IGHMBP2	Failure to thrive	1
IGHMBP2	Limb muscle weakness	1
IGHMBP2	Decreased nerve conduction velocity	1
IGHMBP2	Diaphragmatic paralysis	1
IGHMBP2	Hyperhidrosis	1
IGHMBP2	Decreased fetal movement	1
GPC3	Wide nasal bridge	1
GPC3	Broad foot	1
GPC3	Two carpal ossification centers present at birth	1
GPC3	Epicanthus	1
GPC3	Broad secondary alveolar ridge	1
GPC3	Postaxial hand polydactyly	1
GPC3	Cerebellar vermis hypoplasia	1
GPC3	Aplasia/Hypoplasia of the abdominal wall musculature	1
GPC3	Seizures	1
GPC3	Mandibular prognathia	1
GPC3	Pectus excavatum	1
GPC3	Polysplenia	1
GPC3	Preauricular pit	1
GPC3	Abnormality of the helix	1
GPC3	Cervical ribs	1
GPC3	Short nose	1
GPC3	Lung segmentation defects	1
GPC3	Umbilical hernia	1
GPC3	Small nail	1
GPC3	Muscular hypotonia	1
GPC3	Dandy-Walker malformation	1
GPC3	Hypospadias	1
GPC3	Splenomegaly	1
GPC3	Narrow sacroiliac notch	1
GPC3	Ventricular septal defect	1
GPC3	Multicystic kidney dysplasia	1
GPC3	Hydrocephalus	1
GPC3	Abnormal form of the vertebral bodies	1
GPC3	Coarse facial features	1
GPC3	Hepatomegaly	1
GPC3	Nephroblastoma (Wilms tumor)	1
GPC3	Finger syndactyly	1
GPC3	Abnormality of the pancreas	1
GPC3	Transposition of the great arteries	1
GPC3	Congenital diaphragmatic hernia	1
GPC3	Accelerated skeletal maturation	1
GPC3	Downslanted palpebral fissures	1
GPC3	Cardiomyopathy	1
GPC3	2-3 finger syndactyly	1
GPC3	Anteverted nares	1
GPC3	Patent ductus arteriosus	1
GPC3	Hypoglycemia	1
GPC3	Broad thumb	1
GPC3	Preauricular skin tag	1
GPC3	Clinodactyly of the 5th finger	1
GPC3	Arrhythmia	1
GPC3	Birth length greater than 97th percentile	1
GPC3	Cognitive impairment	1
GPC3	Abnormality of the fingernails	1
GPC3	Macrocephaly	1
GPC3	Aplasia/Hypoplasia of the corpus callosum	1
GPC3	Tall stature	1
GPC3	Polyhydramnios	1
GPC3	Low-set, posteriorly rotated ears	1
GPC3	Abnormality of the ribs	1
GPC3	Renal cyst	1
GPC3	Hypertelorism	1
GPC3	Short toe	1
GPC3	Cryptorchidism	1
GPC3	Short sacroiliac notch	1
GPC3	Cleft upper lip	1
GPC3	Camptodactyly of finger	1
GPC3	Wide mouth	1
GPC3	Supernumerary nipple	1
GPC3	Abnormality of thumb phalanx	1
GPC3	Vertebral segmentation defect	1
GPC3	Submucous cleft lip	1
GPC3	Pancreatic islet-cell hyperplasia	1
GPC3	Cleft palate	1
GPC3	Toe syndactyly	1
GPC3	Dental malocclusion	1
GPC3	Scoliosis	1
GPC3	Enlarged kidneys	1
GPC3	Neuroblastoma	1
GPC3	Atria septal defect	1
GPC3	Broad toe	1
GPC3	Short distal phalanx of finger	1
GPC3	Meckel diverticulum	1
GPC3	Hepatoblastoma	1
GPC3	Displacement of the external urethral meatus	1
GPC3	Abnormality of the ureter	1
GPC3	Six lumbar vertebrae	1
GPC3	Inguinal hernia	1
GPC3	Abnormality of the voice	1
