Category,Condition,Alias,Relative Link,OtherAliases
"Bones, muscles, and connective tissues",hsan type v,hereditary sensory and autonomic neuropathy type v,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v,"['congenital insensitivity to pain', 'congenital sensory neuropathy with selective loss of small myelinated fibers', 'hereditary sensory and autonomic neuropathy, type 5', 'HSAN type V', 'HSAN V']"
"Bones, muscles, and connective tissues",hsan v,hereditary sensory and autonomic neuropathy type v,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v,"['congenital insensitivity to pain', 'congenital sensory neuropathy with selective loss of small myelinated fibers', 'hereditary sensory and autonomic neuropathy, type 5', 'HSAN type V', 'HSAN V']"
"Bones, muscles, and connective tissues",hsan2,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii,"['congenital sensory neuropathy', 'hereditary sensory and autonomic neuropathy type 2', 'HSAN2A', 'HSAN2B', 'HSANII', 'HSAN type II', 'HSN type II', 'Morvan disease']"
"Bones, muscles, and connective tissues",hsan4,congenital insensitivity to pain with anhidrosis,/condition/congenital-insensitivity-to-pain-with-anhidrosis,"['hereditary insensitivity to pain with anhidrosis', 'hereditary sensory and autonomic neuropathy, type 4', 'hereditary sensory and autonomic neuropathy type IV', 'HSAN4', 'HSAN type IV']"
"Bones, muscles, and connective tissues",hsan5,hereditary sensory and autonomic neuropathy type v,/condition/hereditary-sensory-and-autonomic-neuropathy-type-v,"['congenital insensitivity to pain', 'congenital sensory neuropathy with selective loss of small myelinated fibers', 'hereditary sensory and autonomic neuropathy, type 5', 'HSAN type V', 'HSAN V']"
"Bones, muscles, and connective tissues",hsanii,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii,"['congenital sensory neuropathy', 'hereditary sensory and autonomic neuropathy type 2', 'HSAN2A', 'HSAN2B', 'HSANII', 'HSAN type II', 'HSN type II', 'Morvan disease']"
"Bones, muscles, and connective tissues",hsn type ii,hereditary sensory and autonomic neuropathy type ii,/condition/hereditary-sensory-and-autonomic-neuropathy-type-ii,"['congenital sensory neuropathy', 'hereditary sensory and autonomic neuropathy type 2', 'HSAN2A', 'HSAN2B', 'HSANII', 'HSAN type II', 'HSN type II', 'Morvan disease']"
"Bones, muscles, and connective tissues",humero-spinal dysostosis,chst3-related skeletal dysplasia,/condition/chst3-related-skeletal-dysplasia,"['autosomal recessive Larsen syndrome', 'CDMD', 'chondrodysplasia with multiple dislocations', 'humero-spinal dysostosis', 'SED, Omani type', 'SED with luxations, CHST3 type', 'spondyloepiphyseal dysplasia, Omani type', 'spondyloepiphyseal dysplasia with congenital joint dislocations']"
"Bones, muscles, and connective tissues",hutchinson-gilford progeria syndrome,,/condition/hutchinson-gilford-progeria-syndrome,"['HGPS', 'Hutchinson-Gilford Syndrome', 'Progeria', 'Progeria of childhood']"
"Bones, muscles, and connective tissues","hydrocephalus, agyria, and retinal dysplasia",walker-warburg syndrome,/condition/walker-warburg-syndrome,"['cerebroocular dysplasia-muscular dystrophy syndrome', 'Chemke syndrome', 'COD-MD syndrome', 'HARD syndrome', 'hydrocephalus, agyria, and retinal dysplasia', 'Walker-Warburg congenital muscular dystrophy']"
"Bones, muscles, and connective tissues",hydrops - ectopic calcification - moth-eaten skeletal dysplasia,greenberg dysplasia,/condition/greenberg-dysplasia,"['chondrodystrophy, hydropic and prenatally lethal type', 'Greenberg skeletal dysplasia', 'HEM dysplasia', 'HEM skeletal dysplasia', 'hydrops - ectopic calcification - moth-eaten skeletal dysplasia', 'moth-eaten skeletal dysplasia']"
"Bones, muscles, and connective tissues",hypercalcemia-supravalvar aortic stenosis,williams syndrome,/condition/williams-syndrome,"['Beuren syndrome', 'elfin facies syndrome', 'elfin facies with hypercalcemia', 'hypercalcemia-supravalvar aortic stenosis', 'infantile hypercalcemia', 'supravalvar aortic stenosis syndrome', 'WBS', 'Williams-Beuren syndrome', 'WMS', 'WS']"
"Bones, muscles, and connective tissues",hyperkalemic periodic paralysis,,/condition/hyperkalemic-periodic-paralysis,"['adynamia episodica hereditaria', 'familial hyperkalemic periodic paralysis', 'Gamstorp disease', 'Gamstorp episodic adynamy', 'hyperKPP', 'hyperPP', 'primary hyperkalemic periodic paralysis']"
"Bones, muscles, and connective tissues",hyperkpp,hyperkalemic periodic paralysis,/condition/hyperkalemic-periodic-paralysis,"['adynamia episodica hereditaria', 'familial hyperkalemic periodic paralysis', 'Gamstorp disease', 'Gamstorp episodic adynamy', 'hyperKPP', 'hyperPP', 'primary hyperkalemic periodic paralysis']"
"Bones, muscles, and connective tissues",hyperostosis corticalis deformans juvenilis,juvenile paget disease,/condition/juvenile-paget-disease,"['chronic congenital idiopathic hyperphosphatasemia', 'familial idiopathic hyperphosphatasemia', 'familial osteoectasia', 'hyperostosis corticalis deformans juvenilis', 'hyperphosphatasemia with bone disease', 'hyperphosphatasia, familial idiopathic', 'idiopathic hyperphosphatasia', 'JPD', ""juvenile Paget's disease"", 'osteochalasia desmalis familiaris', 'osteoectasia with hyperphosphatasia']"
"Bones, muscles, and connective tissues",hyperostosis corticalis generalisata,sost-related sclerosing bone dysplasia,/condition/sost-related-sclerosing-bone-dysplasia,"['hyperostosis corticalis generalisata', 'hyperotosis corticalis generalisata familiaris', 'hyperphosphatasemia tarda', 'sclerosteosis', 'SOST sclerosing bone dysplasia', 'van Buchem disease']"
"Bones, muscles, and connective tissues",hyperotosis corticalis generalisata familiaris,sost-related sclerosing bone dysplasia,/condition/sost-related-sclerosing-bone-dysplasia,"['hyperostosis corticalis generalisata', 'hyperotosis corticalis generalisata familiaris', 'hyperphosphatasemia tarda', 'sclerosteosis', 'SOST sclerosing bone dysplasia', 'van Buchem disease']"
"Bones, muscles, and connective tissues",hyperparathyroidism 2,hyperparathyroidism-jaw tumor syndrome,/condition/hyperparathyroidism-jaw-tumor-syndrome,"['familial cystic parathyroid adenomatosis', 'familial primary hyperparathyroidism with multiple ossifying jaw fibromas', 'hereditary hyperparathyroidism-jaw tumor syndrome', 'HPT-JT', 'hyperparathyroidism 2']"
"Bones, muscles, and connective tissues",hyperparathyroidism-jaw tumor syndrome,,/condition/hyperparathyroidism-jaw-tumor-syndrome,"['familial cystic parathyroid adenomatosis', 'familial primary hyperparathyroidism with multiple ossifying jaw fibromas', 'hereditary hyperparathyroidism-jaw tumor syndrome', 'HPT-JT', 'hyperparathyroidism 2']"
"Bones, muscles, and connective tissues",hyperphosphatasemia tarda,sost-related sclerosing bone dysplasia,/condition/sost-related-sclerosing-bone-dysplasia,"['hyperostosis corticalis generalisata', 'hyperotosis corticalis generalisata familiaris', 'hyperphosphatasemia tarda', 'sclerosteosis', 'SOST sclerosing bone dysplasia', 'van Buchem disease']"
"Bones, muscles, and connective tissues",hyperphosphatasemia with bone disease,juvenile paget disease,/condition/juvenile-paget-disease,"['chronic congenital idiopathic hyperphosphatasemia', 'familial idiopathic hyperphosphatasemia', 'familial osteoectasia', 'hyperostosis corticalis deformans juvenilis', 'hyperphosphatasemia with bone disease', 'hyperphosphatasia, familial idiopathic', 'idiopathic hyperphosphatasia', 'JPD', ""juvenile Paget's disease"", 'osteochalasia desmalis familiaris', 'osteoectasia with hyperphosphatasia']"
"Bones, muscles, and connective tissues","hyperphosphatasia, familial idiopathic",juvenile paget disease,/condition/juvenile-paget-disease,"['chronic congenital idiopathic hyperphosphatasemia', 'familial idiopathic hyperphosphatasemia', 'familial osteoectasia', 'hyperostosis corticalis deformans juvenilis', 'hyperphosphatasemia with bone disease', 'hyperphosphatasia, familial idiopathic', 'idiopathic hyperphosphatasia', 'JPD', ""juvenile Paget's disease"", 'osteochalasia desmalis familiaris', 'osteoectasia with hyperphosphatasia']"
"Bones, muscles, and connective tissues",hyperphosphatemia hyperostosis,hyperphosphatemic familial tumoral calcinosis,/condition/hyperphosphatemic-familial-tumoral-calcinosis,"['HFTC', 'hyperphosphatemia hyperostosis', 'hyperphosphatemia hyperostosis syndrome', 'hyperphosphatemia tumoral calcinosis', 'primary hyperphosphatemic tumoral calcinosis']"
"Bones, muscles, and connective tissues",hyperphosphatemia tumoral calcinosis,hyperphosphatemic familial tumoral calcinosis,/condition/hyperphosphatemic-familial-tumoral-calcinosis,"['HFTC', 'hyperphosphatemia hyperostosis', 'hyperphosphatemia hyperostosis syndrome', 'hyperphosphatemia tumoral calcinosis', 'primary hyperphosphatemic tumoral calcinosis']"
"Bones, muscles, and connective tissues",hyperphosphatemic familial tumoral calcinosis,,/condition/hyperphosphatemic-familial-tumoral-calcinosis,"['HFTC', 'hyperphosphatemia hyperostosis', 'hyperphosphatemia hyperostosis syndrome', 'hyperphosphatemia tumoral calcinosis', 'primary hyperphosphatemic tumoral calcinosis']"
"Bones, muscles, and connective tissues",hyperpp,hyperkalemic periodic paralysis,/condition/hyperkalemic-periodic-paralysis,"['adynamia episodica hereditaria', 'familial hyperkalemic periodic paralysis', 'Gamstorp disease', 'Gamstorp episodic adynamy', 'hyperKPP', 'hyperPP', 'primary hyperkalemic periodic paralysis']"
"Bones, muscles, and connective tissues","hyperpyrexia, malignant",malignant hyperthermia,/condition/malignant-hyperthermia,"['anesthesia related hyperthermia', 'Hyperpyrexia, Malignant', 'Hyperthermia, Malignant', 'Malignant Hyperpyrexia', 'MHS - Malignant hyperthermia']"
"Bones, muscles, and connective tissues","hyperthermia, malignant",malignant hyperthermia,/condition/malignant-hyperthermia,"['anesthesia related hyperthermia', 'Hyperpyrexia, Malignant', 'Hyperthermia, Malignant', 'Malignant Hyperpyrexia', 'MHS - Malignant hyperthermia']"
"Bones, muscles, and connective tissues",hypertrichosis-osteochondrodysplasia-cardiomegaly syndrome,cantú syndrome,/condition/cantu-syndrome,"['Cantu syndrome', 'hypertrichosis-osteochondrodysplasia-cardiomegaly syndrome', 'hypertrichotic osteochondrodysplasia']"
"Bones, muscles, and connective tissues",hypertrichotic osteochondrodysplasia,cantú syndrome,/condition/cantu-syndrome,"['Cantu syndrome', 'hypertrichosis-osteochondrodysplasia-cardiomegaly syndrome', 'hypertrichotic osteochondrodysplasia']"
"Bones, muscles, and connective tissues",hypochondrodysplasia,hypochondroplasia,/condition/hypochondroplasia,"['HCH', 'Hypochondrodysplasia']"
"Bones, muscles, and connective tissues",hypochondrogenesis,,/condition/hypochondrogenesis,['achondrogenesis type II/hypochondrogenesis']
"Bones, muscles, and connective tissues",hypochondroplasia,,/condition/hypochondroplasia,"['HCH', 'Hypochondrodysplasia']"
"Bones, muscles, and connective tissues",hypokalemic periodic paralysis,,/condition/hypokalemic-periodic-paralysis,"['Familial Hypokalemic Periodic Paralysis', 'HOKPP', 'HypoKPP', 'HypoPP', 'Primary Hypokalemic Periodic Paralysis', 'Westphall disease']"
"Bones, muscles, and connective tissues",hypokpp,hypokalemic periodic paralysis,/condition/hypokalemic-periodic-paralysis,"['Familial Hypokalemic Periodic Paralysis', 'HOKPP', 'HypoKPP', 'HypoPP', 'Primary Hypokalemic Periodic Paralysis', 'Westphall disease']"
"Bones, muscles, and connective tissues",hypomelia hypotrichosis facial hemangioma syndrome,roberts syndrome,/condition/roberts-syndrome,"['Appelt-Gerken-Lenz syndrome', 'Hypomelia hypotrichosis facial hemangioma syndrome', 'Pseudothalidomide syndrome', 'RBS', 'Roberts-SC phocomelia syndrome', 'SC phocomelia syndrome', 'SC pseudothalidomide syndrome', 'SC syndrome', 'tetraphocomelia-cleft palate syndrome']"
"Bones, muscles, and connective tissues",hypophosphatasia,,/condition/hypophosphatasia,"['Deficiency of alkaline phosphatase', 'Phosphoethanolaminuria']"
"Bones, muscles, and connective tissues",hypophosphatemia,hereditary hypophosphatemic rickets,/condition/hereditary-hypophosphatemic-rickets,"['hypophosphatemia', 'VDRR', 'vitamin D-resistant rickets']"
"Bones, muscles, and connective tissues",hypopp,hypokalemic periodic paralysis,/condition/hypokalemic-periodic-paralysis,"['Familial Hypokalemic Periodic Paralysis', 'HOKPP', 'HypoKPP', 'HypoPP', 'Primary Hypokalemic Periodic Paralysis', 'Westphall disease']"
"Bones, muscles, and connective tissues",hypothalamic hamartoblastoma syndrome,pallister-hall syndrome,/condition/pallister-hall-syndrome,"['CAVE complex', 'cerebroacrovisceral early lethality complex', 'Hall-Pallister syndrome', 'hypothalamic hamartoblastoma syndrome', 'PHS']"
"Bones, muscles, and connective tissues",hypoxanthine guanine phosphoribosyltransferase deficiency,lesch-nyhan syndrome,/condition/lesch-nyhan-syndrome,"['choreoathetosis self-mutilation syndrome', 'complete HPRT deficiency', 'complete hypoxanthine-guanine phosphoribosyltransferase deficiency', 'deficiency of guanine phosphoribosyltransferase', 'deficiency of hypoxanthine phosphoribosyltransferase', 'HGPRT deficiency', 'hypoxanthine guanine phosphoribosyltransferase deficiency', 'hypoxanthine phosphoribosyltransferase deficiency', 'juvenile gout, choreoathetosis, mental retardation syndrome', 'juvenile hyperuricemia syndrome', 'Lesch-Nyhan disease', 'LND', 'LNS', 'primary hyperuricemia syndrome', 'total HPRT deficiency', 'total hypoxanthine-guanine phosphoribosyl transferase deficiency', 'X-linked hyperuricemia', 'X-linked primary hyperuricemia', 'X-linked uric aciduria enzyme defect']"
"Bones, muscles, and connective tissues",hypoxanthine phosphoribosyltransferase deficiency,lesch-nyhan syndrome,/condition/lesch-nyhan-syndrome,"['choreoathetosis self-mutilation syndrome', 'complete HPRT deficiency', 'complete hypoxanthine-guanine phosphoribosyltransferase deficiency', 'deficiency of guanine phosphoribosyltransferase', 'deficiency of hypoxanthine phosphoribosyltransferase', 'HGPRT deficiency', 'hypoxanthine guanine phosphoribosyltransferase deficiency', 'hypoxanthine phosphoribosyltransferase deficiency', 'juvenile gout, choreoathetosis, mental retardation syndrome', 'juvenile hyperuricemia syndrome', 'Lesch-Nyhan disease', 'LND', 'LNS', 'primary hyperuricemia syndrome', 'total HPRT deficiency', 'total hypoxanthine-guanine phosphoribosyl transferase deficiency', 'X-linked hyperuricemia', 'X-linked primary hyperuricemia', 'X-linked uric aciduria enzyme defect']"
"Bones, muscles, and connective tissues",i-cell disease,mucolipidosis ii alpha/beta,/condition/mucolipidosis-ii-alpha-beta,"['I-cell disease', 'inclusion cell disease', 'MLII', 'mucolipidosis II', 'mucolipidosis type II']"
"Bones, muscles, and connective tissues",ibids,trichothiodystrophy,/condition/trichothiodystrophy,"['Amish brittle hair syndrome', 'BIDS syndrome', 'brittle hair-intellectual impairment-decreased fertility-short stature syndrome', 'IBIDS', 'PIBIDS', 'TTD']"
"Bones, muscles, and connective tissues",ibm2,inclusion body myopathy 2,/condition/inclusion-body-myopathy-2,"['Distal myopathy with rimmed vacuoles', 'DMRV', 'Hereditary inclusion body myopathy', 'HIBM', 'IBM2', 'Inclusion body myopathy, autosomal recessive', 'Inclusion body myopathy, quadriceps-sparing', 'Nonaka myopathy', 'QSM', 'Rimmed vacuole myopathy']"
"Bones, muscles, and connective tissues",ibmpfd,inclusion body myopathy with early-onset paget disease and frontotemporal dementia,/condition/inclusion-body-myopathy-with-early-onset-paget-disease-and-frontotemporal-dementia,"['Inclusion body myopathy with early-onset Paget disease of bone and/or frontotemporal dementia', 'Inclusion body myopathy with Paget disease of bone and/or frontotemporal dementia', 'Lower motor neuron degeneration with Paget-like bone disease', 'Muscular dystrophy, limb-girdle, with Paget disease of bone', 'Pagetoid amyotrophic lateral sclerosis', 'Pagetoid neuroskeletal syndrome']"
"Bones, muscles, and connective tissues","ichthyosiform erythroderma, unilateral, with ipsilateral malformations, especially absence deformity of limbs",congenital hemidysplasia with ichthyosiform erythroderma and limb defects,/condition/congenital-hemidysplasia-with-ichthyosiform-erythroderma-and-limb-defects,"['Ichthyosiform erythroderma, unilateral, with ipsilateral malformations, especially absence deformity of limbs']"
"Bones, muscles, and connective tissues",ichthyotic neutral lipid storage disease,chanarin-dorfman syndrome,/condition/chanarin-dorfman-syndrome,"['CDS', 'Chanarin-Dorfman disease', 'Ichthyotic neutral lipid storage disease', 'neutral lipid storage disease with ichthyosis', 'Triglyceride storage disease with ichthyosis', 'triglyceride storage disease with impaired long-chain fatty acid oxidation']"
"Bones, muscles, and connective tissues",idic(15),isodicentric chromosome 15 syndrome,/condition/isodicentric-chromosome-15-syndrome,"['duplication/inversion 15q11', 'idic(15)', 'inv dup(15)', 'inverted duplication 15', 'isodicentric chromosome 15', 'non-distal tetrasomy 15q']"
"Bones, muscles, and connective tissues",idiopathic hyperckemia,isolated hyperckemia,/condition/isolated-hyperckemia,"['elevated serum CPK', 'H-CK', 'idiopathic hyperCKemia', 'idiopathic persistent elevation of serum creatine kinase']"
"Bones, muscles, and connective tissues",idiopathic hyperphosphatasia,juvenile paget disease,/condition/juvenile-paget-disease,"['chronic congenital idiopathic hyperphosphatasemia', 'familial idiopathic hyperphosphatasemia', 'familial osteoectasia', 'hyperostosis corticalis deformans juvenilis', 'hyperphosphatasemia with bone disease', 'hyperphosphatasia, familial idiopathic', 'idiopathic hyperphosphatasia', 'JPD', ""juvenile Paget's disease"", 'osteochalasia desmalis familiaris', 'osteoectasia with hyperphosphatasia']"
"Bones, muscles, and connective tissues",idiopathic inflammatory myopathy,,/condition/idiopathic-inflammatory-myopathy,"['idiopathic inflammatory myopathies', 'idiopathic inflammatory myositis', 'inflammatory myopathy, idiopathic']"
"Bones, muscles, and connective tissues",idiopathic juvenile osteoporosis,juvenile primary osteoporosis,/condition/juvenile-primary-osteoporosis,"['childhood-onset primary osteoporosis', 'idiopathic juvenile osteoporosis']"
"Bones, muscles, and connective tissues",idiopathic persistent elevation of serum creatine kinase,isolated hyperckemia,/condition/isolated-hyperckemia,"['elevated serum CPK', 'H-CK', 'idiopathic hyperCKemia', 'idiopathic persistent elevation of serum creatine kinase']"
"Bones, muscles, and connective tissues",image anomaly,"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",/condition/intrauterine-growth-restriction-metaphyseal-dysplasia-adrenal-hypoplasia-congenita-and-genital-anomalies,"['IMAGe anomaly', 'IMAGe association']"
"Bones, muscles, and connective tissues",image association,"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",/condition/intrauterine-growth-restriction-metaphyseal-dysplasia-adrenal-hypoplasia-congenita-and-genital-anomalies,"['IMAGe anomaly', 'IMAGe association']"
"Bones, muscles, and connective tissues",image syndrome,"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",/condition/intrauterine-growth-restriction-metaphyseal-dysplasia-adrenal-hypoplasia-congenita-and-genital-anomalies,"['IMAGe anomaly', 'IMAGe association']"
"Bones, muscles, and connective tissues","immunoosseous dysplasia, schimke type",schimke immuno-osseous dysplasia,/condition/schimke-immuno-osseous-dysplasia,"['immunoosseous dysplasia, Schimke type', 'Schimke immunoosseous dysplasia', 'SIOD']"
"Bones, muscles, and connective tissues",imperforate anus-hand and foot anomalies syndrome,townes-brocks syndrome,/condition/townes-brocks-syndrome,"['anal-ear-renal-radial malformation syndrome', 'deafness-imperforate anus-hypoplastic thumbs syndrome', 'imperforate anus-hand and foot anomalies syndrome', 'renal-ear-anal-radial syndrome (REAR)', 'sensorineural deafness-imperforate anus-hypoplastic thumbs syndrome', 'Townes syndrome']"
"Bones, muscles, and connective tissues",inclusion body myopathy 2,,/condition/inclusion-body-myopathy-2,"['Distal myopathy with rimmed vacuoles', 'DMRV', 'Hereditary inclusion body myopathy', 'HIBM', 'IBM2', 'Inclusion body myopathy, autosomal recessive', 'Inclusion body myopathy, quadriceps-sparing', 'Nonaka myopathy', 'QSM', 'Rimmed vacuole myopathy']"
"Bones, muscles, and connective tissues",inclusion body myopathy with early-onset paget disease and frontotemporal dementia,,/condition/inclusion-body-myopathy-with-early-onset-paget-disease-and-frontotemporal-dementia,"['Inclusion body myopathy with early-onset Paget disease of bone and/or frontotemporal dementia', 'Inclusion body myopathy with Paget disease of bone and/or frontotemporal dementia', 'Lower motor neuron degeneration with Paget-like bone disease', 'Muscular dystrophy, limb-girdle, with Paget disease of bone', 'Pagetoid amyotrophic lateral sclerosis', 'Pagetoid neuroskeletal syndrome']"
"Bones, muscles, and connective tissues",inclusion cell disease,mucolipidosis ii alpha/beta,/condition/mucolipidosis-ii-alpha-beta,"['I-cell disease', 'inclusion cell disease', 'MLII', 'mucolipidosis II', 'mucolipidosis type II']"
"Bones, muscles, and connective tissues",infantile cortical hyperostosis,caffey disease,/condition/caffey-disease,"['Caffey-Silverman syndrome', 'de Toni-Caffey disease', 'infantile cortical hyperostosis']"
"Bones, muscles, and connective tissues",infantile hypercalcemia,williams syndrome,/condition/williams-syndrome,"['Beuren syndrome', 'elfin facies syndrome', 'elfin facies with hypercalcemia', 'hypercalcemia-supravalvar aortic stenosis', 'infantile hypercalcemia', 'supravalvar aortic stenosis syndrome', 'WBS', 'Williams-Beuren syndrome', 'WMS', 'WS']"
"Bones, muscles, and connective tissues",infantile onset multisystem inflammatory disease,neonatal onset multisystem inflammatory disease,/condition/neonatal-onset-multisystem-inflammatory-disease,"['chronic infantile neurological, cutaneous and articular syndrome', 'chronic infantile neurologic, cutaneous, and articular syndrome', 'chronic neurologic, cutaneous, and articular syndrome', 'CINCA', 'CINCA syndrome', 'infantile onset multisystem inflammatory disease', 'IOMID syndrome', 'Prieur-Griscelli syndrome']"
"Bones, muscles, and connective tissues",infantile subacute necrotizing encephalopathy,leigh syndrome,/condition/leigh-syndrome,"['infantile subacute necrotizing encephalopathy', 'juvenile subacute necrotizing encephalopathy', 'Leigh disease', ""Leigh's disease"", 'subacute necrotizing encephalomyelopathy']"
"Bones, muscles, and connective tissues",infantile systemic hyalinosis,,/condition/infantile-systemic-hyalinosis,['inherited systemic hyalinosis']
"Bones, muscles, and connective tissues",infantile thoracic dystrophy,asphyxiating thoracic dystrophy,/condition/asphyxiating-thoracic-dystrophy,"['asphyxiating thoracic chondrodystrophy', 'asphyxiating thoracic dysplasia', 'ATD', 'chondroectodermal dysplasia-like syndrome', 'infantile thoracic dystrophy', 'Jeune syndrome', 'Jeune thoracic dysplasia', 'Jeune thoracic dystrophy', 'thoracic asphyxiant dystrophy', 'thoracic-pelvic-phalangeal dystrophy']"
"Bones, muscles, and connective tissues","inflammatory myopathy, idiopathic",idiopathic inflammatory myopathy,/condition/idiopathic-inflammatory-myopathy,"['idiopathic inflammatory myopathies', 'idiopathic inflammatory myositis', 'inflammatory myopathy, idiopathic']"
"Bones, muscles, and connective tissues",infantile systemic hyalinosis,,/condition/infantile-systemic-hyalinosis,['inherited systemic hyalinosis']
"Bones, muscles, and connective tissues",insley-astley syndrome,otospondylomegaepiphyseal dysplasia,/condition/otospondylomegaepiphyseal-dysplasia,"['Chondrodystrophy with sensorineural deafness', 'Insley-Astley syndrome', 'Mega-epiphyseal dwarfism', 'Nance-Insley syndrome', 'Nance-Sweeney chondrodysplasia', 'Oto-spondylo-megaepiphyseal dysplasia']"
"Bones, muscles, and connective tissues",interstitial deletion of chromosome 15q24,15q24 microdeletion,/condition/15q24-microdeletion,"['15q24 deletion', '15q24 microdeletion syndrome', 'interstitial deletion of chromosome 15q24']"
"Bones, muscles, and connective tissues",intranuclear rod myopathy,,/condition/intranuclear-rod-myopathy,"['intranuclear nemaline rod myopathy', 'nemaline myopathy with exclusively intranuclear rods']"
"Bones, muscles, and connective tissues","intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",,/condition/intrauterine-growth-restriction-metaphyseal-dysplasia-adrenal-hypoplasia-congenita-and-genital-anomalies,"['IMAGe anomaly', 'IMAGe association']"
"Bones, muscles, and connective tissues",inv dup(15),isodicentric chromosome 15 syndrome,/condition/isodicentric-chromosome-15-syndrome,"['duplication/inversion 15q11', 'idic(15)', 'inv dup(15)', 'inverted duplication 15', 'isodicentric chromosome 15', 'non-distal tetrasomy 15q']"
"Bones, muscles, and connective tissues",inverted duplication 15,isodicentric chromosome 15 syndrome,/condition/isodicentric-chromosome-15-syndrome,"['duplication/inversion 15q11', 'idic(15)', 'inv dup(15)', 'inverted duplication 15', 'isodicentric chromosome 15', 'non-distal tetrasomy 15q']"
"Bones, muscles, and connective tissues",iomid syndrome,neonatal onset multisystem inflammatory disease,/condition/neonatal-onset-multisystem-inflammatory-disease,"['chronic infantile neurological, cutaneous and articular syndrome', 'chronic infantile neurologic, cutaneous, and articular syndrome', 'chronic neurologic, cutaneous, and articular syndrome', 'CINCA', 'CINCA syndrome', 'infantile onset multisystem inflammatory disease', 'IOMID syndrome', 'Prieur-Griscelli syndrome']"
"Bones, muscles, and connective tissues",iron-sulfur cluster deficiency myopathy,myopathy with deficiency of iron-sulfur cluster assembly enzyme,/condition/myopathy-with-deficiency-of-iron-sulfur-cluster-assembly-enzyme,"['hereditary myopathy with lactic acidosis', 'HML', 'iron-sulfur cluster deficiency myopathy', 'myoglobinuria due to abnormal glycolysis', 'myopathy with deficiency of ISCU', 'myopathy with deficiency of succinate dehydrogenase and aconitase', 'myopathy with exercise intolerance, Swedish type']"
"Bones, muscles, and connective tissues",isochromosome 12p syndrome,pallister-killian mosaic syndrome,/condition/pallister-killian-mosaic-syndrome,"['isochromosome 12p syndrome', 'Pallister-Killian syndrome', 'PKS', 'Teschler-Nicola/Killian syndrome', 'tetrasomy 12p, mosaic']"
"Bones, muscles, and connective tissues",isodicentric chromosome 15 syndrome,,/condition/isodicentric-chromosome-15-syndrome,"['duplication/inversion 15q11', 'idic(15)', 'inv dup(15)', 'inverted duplication 15', 'isodicentric chromosome 15', 'non-distal tetrasomy 15q']"
"Bones, muscles, and connective tissues",isolated hyperckemia,,/condition/isolated-hyperckemia,"['elevated serum CPK', 'H-CK', 'idiopathic hyperCKemia', 'idiopathic persistent elevation of serum creatine kinase']"
"Bones, muscles, and connective tissues",isolated pierre robin sequence,,/condition/isolated-pierre-robin-sequence,"['glossoptosis, micrognathia, and cleft palate', 'Pierre Robin syndrome', 'Pierre-Robin syndrome', 'Robin sequence', 'Robin syndrome']"
"Bones, muscles, and connective tissues",jackson-weiss syndrome,,/condition/jackson-weiss-syndrome,['JWS']
"Bones, muscles, and connective tissues",jacobsen syndrome,,/condition/jacobsen-syndrome,"['11q23 deletion disorder', '11q deletion disorder', '11q deletion syndrome', '11q- deletion syndrome', '11q terminal deletion disorder', 'Jacobsen thrombocytopenia']"
"Bones, muscles, and connective tissues",jankovic-rivera syndrome,spinal muscular atrophy with progressive myoclonic epilepsy,/condition/spinal-muscular-atrophy-with-progressive-myoclonic-epilepsy,"['hereditary myoclonus with progressive distal muscular atrophy', 'Jankovic-Rivera syndrome', 'SMAPME', 'SMA-PME']"
"Bones, muscles, and connective tissues",japanese autoinflammatory syndrome with lipodystrophy,nakajo-nishimura syndrome,/condition/nakajo-nishimura-syndrome,"['ALDD', 'autoinflammation, lipodystrophy, and dermatosis syndrome', 'Japanese autoinflammatory syndrome with lipodystrophy', 'JASL', 'Nakajo syndrome', 'NKJO']"
"Bones, muscles, and connective tissues",spondylocostal dysostosis,,/condition/spondylocostal-dysostosis,"['Jarcho-Levin syndrome', 'SCDO']"
"Bones, muscles, and connective tissues",jasl,nakajo-nishimura syndrome,/condition/nakajo-nishimura-syndrome,"['ALDD', 'autoinflammation, lipodystrophy, and dermatosis syndrome', 'Japanese autoinflammatory syndrome with lipodystrophy', 'JASL', 'Nakajo syndrome', 'NKJO']"
"Bones, muscles, and connective tissues",jeune syndrome,asphyxiating thoracic dystrophy,/condition/asphyxiating-thoracic-dystrophy,"['asphyxiating thoracic chondrodystrophy', 'asphyxiating thoracic dysplasia', 'ATD', 'chondroectodermal dysplasia-like syndrome', 'infantile thoracic dystrophy', 'Jeune syndrome', 'Jeune thoracic dysplasia', 'Jeune thoracic dystrophy', 'thoracic asphyxiant dystrophy', 'thoracic-pelvic-phalangeal dystrophy']"
